index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
48,0xf941d3f7188dded402a12d75ebe1742f8ab4a0bb860bed8d9709473e4dad4832,1,0xd76f585b6b94202430875ae748ff8c038dc64111,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 01:04:57+00:00,490,518,0.9459459459459459,121,158,161,0.9813664596273292,54,1,0xf941d3f7188dded402a12d75ebe1742f8ab4a0bb860bed8d9709473e4dad4832,8,5,21,250,180,1148714,51,175,1116672,7,14,2,1,4,152093,33090192729,21503173,142307,0.0,158,2.0,-0.142857142857143,0.04718313638581705,0.0944506482277531,0.2783363155025678,-0.3893765270620944,-0.392655409216651,-0.3427387294538027,-1.3637189238501803,2.0815122461606963,1.6364100157922048,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.47228309155467796,-0.2812595644995929,-0.6293905696329247,-0.6414355080917289,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.6277400205785252,-0.08961532113536354,1.166568829157584,-0.8301459364220837,0.0,-0.3680430242949117,0.047619047619047616,0.6685082872928176,2.072,0.0004265635949735139,0.3068181818181818,3.156862745098039,0.00014149173482299652,0.049689440993788817,0.015444015444015444,1.6,0.04132231404958678,0
253,0xfdd41d9119d0f89dc2d7fa6da5c47b921f375e7c50306c0d9085eb5b1d26d11e,1,0x4eaf985fbcf28fb74c35b92a380e954276235e43,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 01:31:07+00:00,491,519,0.9460500963391136,121,1952,2048,0.953125,433,2,0xfdd41d9119d0f89dc2d7fa6da5c47b921f375e7c50306c0d9085eb5b1d26d11e,3,3,21,250,180,1148847,286,703,4539251,7,14,2,1,4,152081,22901238136,5351054,142295,0.0,1948,2.0,-0.142857142857143,0.058663218231514595,0.10495683824196368,0.2783363155025678,2.3218266149887397,2.313582061807931,3.41262346953409,-1.3171597253575147,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.4728983703998348,1.9212062021583318,0.7761764936254785,0.8154020297053372,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.6277816067558999,-0.833453152264641,-0.9300880734267508,-0.8302164477327149,0.0,2.2814523044317805,0.047619047619047616,0.6685082872928176,2.076,0.00042738464966644846,0.6150568181818182,7.160839160839161,0.0004300267973666146,0.00146484375,0.005780346820809248,1.0,0.024793388429752067,0
879,0x4abd7cbeeff449b23a2eb637c947276a86be824f0b448662ba06a4243445f930,1,0x261c62519cb0ec3dad7289670d8ce6467c97a14b,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 01:47:02+00:00,492,520,0.9461538461538461,121,146,176,0.8295454545454546,45,3,0x4abd7cbeeff449b23a2eb637c947276a86be824f0b448662ba06a4243445f930,3,3,21,250,180,1148925,45,402,2581793,7,14,2,1,4,169181,26031086100,2831279,159395,0.0,150,2.0,-0.142857142857143,0.07014330007721213,0.11546302825617424,0.2783363155025678,-0.40751166513601306,-0.37114318766637605,-0.43191619592053365,-1.2706005268648488,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.473259210624814,-0.337492733010008,-0.025103214785088545,-0.01779956858097534,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-0.6049606901522284,-1.2571723183304346,-0.7297378300832433,0.0,-0.37988434419983547,0.047619047619047616,0.6685082872928176,2.08,0.00042822601281544676,0.11166253101736973,3.911111111111111,5.654982543146355e-05,0.017045454545454544,0.0057692307692307696,1.0,0.024793388429752067,0
416,0x2936c28588fa494629e5227d13a1481104a06e2bf0fc4f993c0566ac690a53b0,1,0x811192c033b68962d458ac8cd343e43724c8f412,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 02:08:40+00:00,493,521,0.946257197696737,121,138,138,1.0,58,4,0x2936c28588fa494629e5227d13a1481104a06e2bf0fc4f993c0566ac690a53b0,3,3,21,250,180,1149015,32,292,1870262,7,14,2,1,4,169181,41725932255,6991764,159395,0.0,121,2.0,-0.142857142857143,0.08162338192290967,0.12596921827038482,0.2783363155025678,-0.41960175718529213,-0.4256408155937392,-0.3031042999130334,-1.224041328372183,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.4736755647305592,-0.459331264782574,-0.3179296862972559,-0.32066622851966026,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,0.5408310804641038,-0.7171125532093017,-0.7297378300832433,0.0,-0.4228091288551841,0.047619047619047616,0.6685082872928176,2.084,0.00042906278067494273,0.19795221843003413,4.3125,7.37864139963203e-05,0.021739130434782608,0.005758157389635317,1.0,0.024793388429752067,0
315,0xd1e5e530172a72694016cd6ced1af65fcc830637414c74e1185deea4b4449077,1,0xa2998dec7eb7e6a3894d00c2277e24a11ed865de,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 02:43:14+00:00,494,522,0.946360153256705,121,744,770,0.9662337662337662,201,5,0xd1e5e530172a72694016cd6ced1af65fcc830637414c74e1185deea4b4449077,3,3,21,250,180,1149176,164,549,3539483,7,14,2,1,4,169181,28983404988,22628261,159395,0.0,723,2.0,-0.142857142857143,0.09310346376860722,0.13647540828459537,0.2783363155025678,0.4962227155475984,0.48074078572450984,1.1138265561694698,-1.1774821298795173,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.47442037596417014,0.777798442446558,0.36621943350844416,0.38984587702389517,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-0.3894286197707739,1.3126130429981833,-0.7297378300832433,0.0,0.46825019399032913,0.047619047619047616,0.6685082872928176,2.088,0.0004298728568358051,0.3654545454545455,4.695121951219512,0.0002102001308665331,0.003896103896103896,0.005747126436781609,1.0,0.024793388429752067,0
417,0x0bb7805c548bd555121369f2862ede87ed4ff466a1d302ea0bd02f7dca3a628d,1,0x501d63b672e92274ec7dcd4474751d8f62933386,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 05:35:42+00:00,495,523,0.9464627151051626,121,1645,1702,0.9665099882491187,191,6,0x0bb7805c548bd555121369f2862ede87ed4ff466a1d302ea0bd02f7dca3a628d,3,3,21,250,180,1149941,163,444,2856914,7,14,2,1,4,169181,20273474010,4602419,159395,0.0,1448,2.0,-0.142857142857143,0.10458354561430476,0.14698159829880594,0.2783363155025678,1.857869332597655,1.817366818048257,1.0147404823175463,-1.1309229313868514,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.4779593858630045,0.7684262476948223,0.0867032561559208,0.09930703443279486,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-1.0252913188166863,-1.027266080861331,-0.7297378300832433,0.0,1.5413698103740452,0.047619047619047616,0.6685082872928176,2.092,0.00043045649258832187,0.42921348314606744,10.441717791411042,0.0005757959197245981,0.0017626321974148062,0.0057361376673040155,1.0,0.024793388429752067,0
31,0xf34ef7196c11a7205e08252a7c27f9f3b41c67bc8a66d14f9108893853e1866c,1,0x796308116a54086e9cef325737f37189f2a79cbd,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 06:27:13+00:00,496,524,0.9465648854961832,121,741,764,0.9698952879581152,199,7,0xf34ef7196c11a7205e08252a7c27f9f3b41c67bc8a66d14f9108893853e1866c,3,3,21,250,180,1150173,194,607,3917880,7,14,2,1,4,152081,23008527365,15425223,142295,0.0,724,2.0,-0.142857142857143,0.1160636274600023,0.15748778831301652,0.2783363155025678,0.49168893102911876,0.4721358971043999,1.094009341399085,-1.0843637328941858,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.47903265422448105,1.0589642849986336,0.5206188457603143,0.5509124159671296,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.6277816067558999,-0.8256205736939484,0.3776088282399052,-0.8302164477327149,0.0,0.4697303589784446,0.047619047619047616,0.6685082872928176,2.096,0.00043123909947538375,0.32730263157894735,3.9381443298969074,0.00018913285012995545,0.003926701570680628,0.0057251908396946565,1.0,0.024793388429752067,0
42,0x385e0feeccf47f3afef97b08a72057c178087d1b1dbe5aafda2ef81234a91cd0,1,0xba8d1b2460ccd7b39c6ed92e4700a237bf9a5081,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 06:31:51+00:00,497,525,0.9466666666666667,121,508,514,0.9883268482490273,109,8,0x385e0feeccf47f3afef97b08a72057c178087d1b1dbe5aafda2ef81234a91cd0,3,3,21,250,180,1150195,105,287,1839211,7,14,2,1,4,169181,19528145572,3469027,159395,0.0,478,2.0,-0.142857142857143,0.12754370930569983,0.1679939783272271,0.2783363155025678,0.13956500009386544,0.11359887126648495,0.20223467673177542,-1.0378045344015199,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.4791344296725521,0.22483895209414298,-0.33123998045689984,-0.33388323896299454,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-1.0797035240866732,-1.1743882114086521,-0.7297378300832433,0.0,0.10560977190203885,0.047619047619047616,0.6685082872928176,2.1,0.00043210026812821466,0.3784722222222222,4.895238095238096,0.00027620524441989287,0.005836575875486381,0.005714285714285714,1.0,0.024793388429752067,0
203,0x4d42cc1735db17ccdd6a5b56c7dcd1c19c25050e700a582f8d4e5ed5a79823ae,1,0x6f4774b947f82b9721d37678a94736d3d035c8fa,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 06:42:09+00:00,498,526,0.9467680608365019,121,87,90,0.9666666666666667,27,9,0x4d42cc1735db17ccdd6a5b56c7dcd1c19c25050e700a582f8d4e5ed5a79823ae,3,3,21,250,180,1150237,27,323,2071896,7,14,2,1,4,169181,30867035390,6990387,159395,0.0,78,2.0,-0.142857142857143,0.13902379115139737,0.17850016834143764,0.2783363155025678,-0.4966760939994463,-0.4944799245546188,-0.6102711288539956,-0.9912453359088542,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.4793287282552332,-0.5061922385412533,-0.23540586250746326,-0.23483972748164952,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-0.25191543919035975,-0.7172912973452791,-0.7297378300832433,0.0,-0.48645622334414934,0.047619047619047616,0.6685082872928176,2.104,0.0004329538756326951,0.08333333333333333,3.3333333333333335,4.199050435422224e-05,0.03333333333333333,0.005703422053231939,1.0,0.024793388429752067,0
528,0x55a840a366e32f44065ff5f3260b0b2797a5d9116f6faeb848f7e808cc0fe81f,1,0x8a5e9d942fc25b5c857e8bd92ef77254cc9958c9,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 07:13:56+00:00,499,527,0.9468690702087287,121,903,943,0.9575821845174973,200,10,0x55a840a366e32f44065ff5f3260b0b2797a5d9116f6faeb848f7e808cc0fe81f,3,3,21,250,180,1150372,232,377,2421149,7,14,2,1,4,169181,18486139241,4302222,159395,0.0,865,2.0,-0.142857142857143,0.15050387299709492,0.18900635835564822,0.2783363155025678,0.7365132950270201,0.728848407604347,1.1039179487842774,-0.9446861374161885,-0.10955327611372087,0.28957049662166595,-0.5103197524722234,0.25192900476154984,0.48460412030687244,0.47995325941385103,1.415107685564596,-0.09165468558330839,-0.08617847507864036,-0.8791708910345952,-0.08559209850218266,-0.7254426029904626,-0.43967877187142845,-0.28161230509355073,-0.5685213039967997,-1.1557745009665303,-1.0662337303805742,-0.7297378300832433,0.0,0.678433622302726,0.047619047619047616,0.6685082872928176,2.108,0.0004337723503594052,0.5291005291005291,4.064655172413793,0.00037296326126014495,0.003181336161187699,0.0056925996204933585,1.0,0.024793388429752067,0
