trace_involved_amt,contract_block_involved,contract_tx_count,contract_main_active_days,sender_block_involved,sender_tx_count,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,is_sus,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_block_per_tx,contract_block_per_tx,sender_call_contract_day_ratio
6,2,2,1,3,3,1,1,2,1,15,1,0,24,1,0,25,5,6.0,4.0,2,1,10000000,52770827300,14328034,190098,0.0,2,7.059219373301749,-10.830764720252173,-10.826462088044034,-9.818229094100362,-0.7006534881567508,-0.6791445462267235,-1.0030266507623278,-1.6913967034830142,-0.4194986581916535,-0.8766387101288797,3.997281318204264,-11.104610041421914,-10.092002514889767,-10.056099527063337,-0.76561137172926,-1.1769152771795464,-1.2083247826450956,-1.648392052965426,2.9351975428213706,1.869725285037734,11.13552872566005,-5.101510313468712,11.118756968599389,-0.5948719615131491,0.4792697458541494,2.5397598072209555,0.0,-0.6622515175384864,1,0.4,1.0,2.0,0.08,1.0,3.0,0.11538461538461539,0.6666666666666666,1.0,2.0,1.0,1.0,1.0
2,1567,1603,85,327,329,111,1,2,2,8,911,97,613704,108,485,3132415,7,5.0,3.0,1,3,140926,85101348433,11136522,88853,0.0,301,-0.4666008540988367,-0.313332126052378,-0.3165702825897724,-0.3914363464729112,-0.373418995440892,-0.3777151162033174,-0.1358475481477649,-1.6913967034830142,-0.4194986581916535,-0.3669650414492985,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3767891436366156,-0.1344444525429402,-0.236843752139559,-0.2175124244034532,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1177142259145114,0.9835791301381472,0.0293081824099417,-0.5721325615816977,0.0,-0.3820494405814373,0,0.25,0.8673469387755102,1.7596048298572997,0.0025533440333710823,0.22839506172839505,3.0462962962962963,0.00010439226462896372,0.0060790273556231,0.0012476606363069245,1.0,0.993920972644377,0.9775421085464754,0.023529411764705882
2,1568,1604,85,2338,2374,397,2,2,2,8,911,97,613706,121,1264,7923183,7,5.0,3.0,1,3,140926,72578890546,16460610,88853,0.0,2183,-0.4666008540988367,-0.3066117218388318,-0.3100057030735611,-0.3914363464729112,1.657656822002293,1.5131535475938158,2.1188181186500983,-1.6636725246296995,-0.4194986581916535,-0.3669650414492985,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3767575984978351,-0.0577606212399293,1.2730855633370393,1.2978646965388931,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1177142259145114,0.3722036672874371,0.7799351455529738,-0.5721325615816977,0.0,1.3816305220712932,0,0.25,0.8673469387755102,1.7607025246981338,0.0025549651543814882,0.3138339920948617,19.619834710743802,0.0002950833907176711,0.0008424599831508003,0.0012468827930174563,1.0,0.9848357203032856,0.9775561097256857,0.023529411764705882
2,1569,1605,85,46,46,32,3,9,8,8,911,97,613830,10,139,889201,7,5.0,3.0,1,3,93963,80018124190,17561850,88865,0.0,44,-0.4666008540988367,-0.2998913176252856,-0.3034411235573498,-0.3914363464729112,-0.6572242190617448,-0.6393854496285442,-0.7586398127527691,-1.635948345776385,2.540673325015579,2.6910769706281883,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3748017998934404,-0.7125225654425602,-0.9074927163948904,-0.9270677969402916,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1712383597944231,0.7354043227335763,0.9351956215052182,-0.5717637264942798,0.0,-0.6228920284675966,0,0.25,0.8673469387755102,1.7618002195389681,0.002556078138771095,0.22857142857142856,4.6,5.173177748138218e-05,0.1956521739130435,0.005607476635514018,1.125,1.0,0.9775700934579439,0.09411764705882353
2,1570,1606,85,325,370,73,4,2,2,8,911,97,613901,90,290,1862396,7,5.0,3.0,1,3,166594,76543970673,18054529,105965,0.0,362,-0.4666008540988367,-0.2931709134117394,-0.2968765440411385,-0.3914363464729112,-0.3754389614453109,-0.3398052799120301,-0.4354185108691594,-1.6082241669230706,-0.4194986581916535,-0.3669650414492985,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3736819474667306,-0.2406220651163398,-0.6148106539597602,-0.6192345983350813,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.0884601861719572,0.5657880833629245,1.004656934236027,-0.0461737269236799,0.0,-0.3248844683594307,0,0.25,0.8673469387755102,1.7628979143798025,0.002557411443520301,0.2508591065292096,4.111111111111111,0.00017450629484476189,0.005405405405405406,0.0012453300124533001,1.0,0.8783783783783784,0.9775840597758406,0.023529411764705882
2,1571,1607,85,286,299,82,5,4,4,8,911,97,613904,49,922,5893404,7,5.0,3.0,1,3,140944,84501037814,16935028,88865,0.0,272,-0.4666008540988367,-0.2864505091981932,-0.2903119645249272,-0.3914363464729112,-0.414828298531479,-0.4054540208066983,-0.3644674933825133,-1.580499988069756,0.4262647655818415,0.6523822959098639,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3736346297585597,-0.4824710715335277,0.6101897662985326,0.6558213629503672,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1176937111601338,0.9542705721971112,0.846821895471531,-0.5717637264942798,0.0,-0.4092262306541946,0,0.25,0.8673469387755102,1.7639956092206366,0.00255902786261718,0.08884073672806067,6.1020408163265305,4.85288216234927e-05,0.013377926421404682,0.002489110143123833,1.0,0.9565217391304348,0.9775980087118855,0.047058823529411764
2,1572,1608,85,159,167,45,6,2,2,8,911,97,613907,30,150,953998,7,5.0,3.0,1,3,150341,82109441658,13577365,88865,0.0,155,-0.4666008540988367,-0.279730104984647,-0.283747385008716,-0.3914363464729112,-0.543096139812078,-0.5275052010615744,-0.6561550097165026,-1.5527758092164414,-0.4194986581916535,-0.3669650414492985,-0.1517354711536614,-0.0218245621745183,-0.3402069703377727,-0.3735873120503889,-0.5945474403610052,-0.8861715065486224,-0.9065717321536644,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1069838696664147,0.8375072961676984,0.373435208221485,-0.5717637264942798,0.0,-0.5188705216373878,0,0.25,0.8673469387755102,1.765093304061471,0.0025606442659160656,0.2980132450331126,5.566666666666666,0.0001666668413698547,0.011976047904191617,0.0012437810945273632,1.0,0.9520958083832335,0.9776119402985075,0.023529411764705882
3,1573,1609,85,60,61,17,7,1,1,6,912,97,613981,18,138,881588,4,5.0,1.0,1,2,250941,69389447061,6015283,165704,0.0,57,1.4148542027513098,-0.2730097007711008,-0.2771828054925047,-0.3914363464729112,-0.6430844570308126,-0.6255159973268537,-0.8768915085638459,-1.5250516303631267,-0.842380370078401,-0.8766387101288797,-1.33716883954164,-0.0096456770324882,-0.3402069703377727,-0.3724201419155082,-0.6653325154099382,-0.9094310081990964,-0.9294758797407392,-2.6634117900131025,-0.3406925719346237,-2.6831771947619423,-0.0898026510133875,-2.364648557315969,0.0076708131332172,0.2164876325861054,-0.6927197175984088,1.789979547014803,0.0,-0.610709329469464,0,0.5,0.8673469387755102,1.7642543859649122,0.0025619643572612877,0.1223021582733813,3.388888888888889,6.805892541762658e-05,0.01639344262295082,0.0006215040397762585,1.0,0.9836065573770492,0.9776258545680547,0.011764705882352941
2,1574,1610,85,19,19,4,8,6,4,8,912,97,613985,5,59,374625,7,5.0,3.0,1,3,140944,72789610359,8506764,88865,0.0,15,-0.4666008540988367,-0.2662892965575546,-0.2706182259762934,-0.3914363464729112,-0.6844937601213997,-0.664350463771587,-0.9793763116001124,-1.4973274515098125,1.2720281893553365,0.6523822959098639,-0.1517354711536614,-0.0096456770324882,-0.3402069703377727,-0.3723570516379471,-0.742016346712949,-1.062556060731383,-1.089834329860698,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1176937111601338,0.3824914977091654,-0.3414533942847135,-0.5717637264942798,0.0,-0.6500688185403539,0,0.25,0.8673469387755102,1.7653508771929824,0.0025635763681908057,0.06666666666666667,3.8,5.071724866933956e-05,0.3157894736842105,0.0037267080745341614,1.5,1.0,0.977639751552795,0.047058823529411764
2,1575,1611,85,61,62,17,9,2,1,8,912,97,614004,18,138,881611,7,5.0,3.0,1,3,140872,102300000000,1229582,93617,0.0,58,-0.4666008540988367,-0.2595688923440084,-0.2640536464600821,-0.3914363464729112,-0.6420744740286032,-0.6245913671734077,-0.8768915085638459,-1.4696032726564978,-0.4194986581916535,-0.8766387101288797,-0.1517354711536614,-0.0096456770324882,-0.3402069703377727,-0.3720573728195318,-0.6653325154099382,-0.9094310081990964,-0.9294686045661156,0.3816474211299266,-0.3406925719346237,0.3520911251045086,-0.0898026510133875,0.3722131988367733,-0.1177757701776444,1.8232572234538795,-1.3674411362039187,-0.4257050318767657,0.0,-0.6097721987772999,0,0.25,0.8673469387755102,1.7664473684210527,0.002565125691158867,0.1223021582733813,3.4444444444444446,6.919143568826195e-05,0.03225806451612903,0.0012414649286157666,2.0,0.9838709677419355,0.9776536312849162,0.011764705882352941
