index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
624,0xcbfc1c7539c570acd778ca0a820aed88789b98dca2c704298b435b9d91ac81bd,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:43+00:00,44,78,0.5641025641025641,1,81,167,0.4850299401197604,2,10,78,1,100,1,0,210,6,1,6554,13,34.0,8.0,2,1,1000000,210000000000,5676284,387249,3.258e+21,159,-1.0,0.0,-0.9609542026985068,-0.9610883746247972,-0.9607689228305226,-0.799716127497125,-0.6276683868080138,0.0,-0.9721994718576106,-0.5036158514561985,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607834113074412,0.0,0.0,-0.7519049437912715,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,-0.4618421451660209,-0.9178277910395436,0.0,-0.5170937393411618,0.15,1.0,78.0,0.2085308056872037,1.0,27.83333333333333,0.0123569794050343,0.467065868263473,1.0,78.0,1.0,1
256,0x3ee8f1fdba06a3d59ef8df17344ffe9abd331a4b730fb3fb73504de604d00f7d,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:31:56+00:00,45,79,0.569620253164557,1,83,169,0.4911242603550296,2,11,79,1,100,1,0,216,6,1,6560,13,34.0,8.0,2,1,1000000,210000000000,11458476,387249,3.327e+21,161,-1.0,0.0,-0.9608764840161236,-0.9610141829101436,-0.9607689228305226,-0.4921330015366925,-0.4912187375019237,0.0,-0.9688532907057636,-0.3682352462260376,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.960774751415939,0.0,0.0,-0.3139020639128686,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,1.6033164428640785,-0.9178277910395436,0.0,-0.3788333812285515,0.15,1.0,79.0,0.2073732718894009,1.0,28.166666666666668,0.0126505105928974,0.4674556213017751,1.0,79.0,1.0,1
461,0xe8c3dc80a2b96d80af6bfe3b316aa585f24549a81fb3e706caccb0548ebbb56c,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:32:28+00:00,46,80,0.575,1,85,171,0.4970760233918128,2,12,80,1,100,1,0,218,6,1,6562,13,34.0,8.0,2,1,1000000,210000000000,5618540,387249,3.327e+21,163,-1.0,0.0,-0.9607987653337408,-0.9609399911954905,-0.9607689228305226,-0.1845498755762599,-0.3547690881958335,0.0,-0.9655071095539168,-0.2328546409958766,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607718647854382,0.0,0.0,-0.167901103953401,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,-0.4824659012618423,-0.9178277910395436,0.0,-0.2405730231159411,0.15,1.0,80.0,0.2100456621004566,1.0,28.5,0.012951394179491,0.4678362573099415,1.0,80.0,1.0,1
536,0xcbd1040bd3c01a99a867fdf6ed54f4b70f5b7664b9d2c31a9b36601508bdc71b,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:33:21+00:00,47,81,0.5802469135802469,1,87,173,0.5028901734104047,2,13,81,1,100,1,0,221,6,1,6565,13,34.0,8.0,2,1,1000000,210000000000,12096418,387249,3.327e+21,165,-1.0,0.0,-0.9607210466513576,-0.9608657994808372,-0.9607689228305226,0.1230332503841725,-0.2183194388897434,0.0,-0.9621609284020698,-0.0974740357657157,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607675348396872,0.0,0.0,0.0511003359858003,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,1.8311628028543891,-0.9178277910395436,0.0,-0.1023126650033309,0.15,1.0,81.0,0.2117117117117117,1.0,28.83333333333333,0.0132500761498629,0.4682080924855491,1.0,81.0,1.0,1
770,0x1afaacef3ba7cf528001fc9c3de2d90228c047c20ba4e68cf0bd83262331e3a0,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:33:52+00:00,48,84,0.5714285714285714,1,89,179,0.4972067039106145,2,14,84,1,100,1,0,223,6,1,6567,13,34.0,8.0,2,1,1000000,210000000000,7980140,387249,3.327e+21,167,-1.0,0.0,-0.9606433279689748,-0.9606432243368772,-0.9607689228305226,0.4306163763446051,0.1910295090285269,0.0,-0.9588147472502228,0.308667779924767,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607646482091864,0.0,0.0,0.1971012959452679,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,0.3609994353253692,-0.9178277910395436,0.0,0.0359476931092793,0.15,1.0,84.0,0.2142857142857142,1.0,29.83333333333333,0.0135505481120584,0.4692737430167598,1.0,84.0,1.0,1
1,0xf228104983bc22d3660937cf6ade3870705370d5f33aa59208c7d6cd71494ae2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:33:52+00:00,48,84,0.5714285714285714,1,89,179,0.4972067039106145,2,15,84,1,97,1,0,223,6,1,6567,11,34.0,8.0,2,1,1000000,210000000000,9244407,362536,3.327e+21,169,-1.0,0.0,-0.9606433279689748,-0.9606432243368772,-0.9607689228305226,0.4306163763446051,0.1910295090285269,0.0,-0.9554685660983758,0.308667779924767,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607646482091864,0.0,0.0,0.1971012959452679,-1.1414262083002058,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,0.8125430458822392,-1.0126505542433124,0.0,0.1742080512218896,0.1546391752577319,1.0,84.0,0.2142857142857142,1.0,29.83333333333333,0.0135505481120584,0.4692737430167598,1.0,84.0,1.0,1
830,0xad18a25907fa30fc82f03b275685c298b7467cce193f439cb710a5dc740e983b,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:33:52+00:00,48,84,0.5714285714285714,1,89,179,0.4972067039106145,2,16,84,1,97,1,0,223,6,1,6567,11,34.0,8.0,2,1,1000000,210000000000,10471275,362536,3.414e+21,171,-1.0,0.0,-0.9606433279689748,-0.9606432243368772,-0.9607689228305226,0.4306163763446051,0.1910295090285269,0.0,-0.9521223849465288,0.308667779924767,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607646482091864,0.0,0.0,0.1971012959452679,-1.1414262083002058,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,1.2507292885008363,-1.0126505542433124,0.0,0.3124684093344999,0.1546391752577319,1.0,84.0,0.2142857142857142,1.0,29.83333333333333,0.0135505481120584,0.4692737430167598,1.0,84.0,1.0,1
353,0x0575f297948385283986007d4377ebdd55c06f0d6761248633f6faf60225ab4b,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:34:12+00:00,49,86,0.5697674418604651,1,91,184,0.4945652173913043,2,17,86,1,97,1,0,225,6,1,6569,11,34.0,8.0,2,1,1000000,210000000000,8164709,362536,3.414e+21,175,-1.0,0.0,-0.9605656092865916,-0.9604948409075704,-0.9607689228305226,0.7381995023050376,0.5321536322937522,0.0,-0.945430022642835,0.579428990385089,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607617615786856,0.0,0.0,0.3431022559047356,-1.1414262083002058,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,0.4269198086775732,-1.0126505542433124,0.0,0.5889891255597205,0.1546391752577319,1.0,86.0,0.2168141592920354,1.0,30.666666666666668,0.0138508371385083,0.4673913043478261,1.0,86.0,1.0,1
390,0xceb55ad0a0a1097dbca3d073a9f02de6465db95a8683cbe41cc847d0178a25e6,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:34:12+00:00,49,86,0.5697674418604651,1,91,184,0.4945652173913043,2,18,86,1,100,1,0,225,6,1,6569,13,34.0,8.0,2,1,1000000,210000000000,6900442,387249,3.414e+21,173,-1.0,0.0,-0.9605656092865916,-0.9604948409075704,-0.9607689228305226,0.7381995023050376,0.5321536322937522,0.0,-0.948776203794682,0.579428990385089,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607617615786856,0.0,0.0,0.3431022559047356,-0.8086488880960642,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,-0.5319974126666808,-0.0246238018792967,-0.9178277910395436,0.0,0.4507287674471102,0.15,1.0,86.0,0.2168141592920354,1.0,30.666666666666668,0.0138508371385083,0.4673913043478261,1.0,86.0,1.0,1
964,0x354b0b31618e7281a7ab5301f32aba7ddc30a885d46f3c148cf3dbbf2181e978,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:35:50+00:00,50,91,0.5494505494505495,1,92,193,0.4766839378238341,2,19,91,1,97,1,0,236,6,1,6580,11,34.0,8.0,2,1,1000000,235000000000,8589091,362536,3.364e+21,181,-1.0,0.0,-0.9604878906042086,-0.960123882334304,-0.9607689228305226,0.8919910652852538,1.1461770541711578,0.0,-0.9387376603391412,1.2563320165358935,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607458851109314,0.0,0.0,1.1461075356818071,-1.1414262083002058,0.9607689228305228,-0.9607689228305232,-0.9607689228305228,-0.9607689228305228,-0.9607689228305228,1.4530675599701877,0.5784914154151892,-1.0126505542433124,0.0,1.0037701998975517,0.1546391752577319,1.0,91.0,0.2109704641350211,1.0,32.166666666666664,0.0139796383528339,0.4715025906735751,1.0,91.0,1.0,1
