transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x0cda297f03d347c0dcc29b5fc8bcd3cf6a6465092e89cd7a478931e9b1816924,1,0xae6461f610b0c434c8f446d37258de3b35605e45,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-22 09:50:29.000000 UTC,648,657,0.9863013698630136,147,24,24,1.0,17,657,4,4,12,252,209,1338157,9,319,2049117,10,5,6,1,4,2022951,49310283688,28603289,1291873,0.0,11,2.0,-0.1290259117519749,-0.14128569830967014,-0.14269379357308007,0.9909682535930662,-0.06300323633271335,-0.05928541854096739,-0.23366127884031582,1.5126057600023894,0.17324739097037087,0.5340262540439865,0.5394787748292665,-0.13843706020209778,1.0378253002363835,1.0384682476973444,-0.05962786800355369,0.3720465362715336,0.3915156056912021,2.0345242643357464,0.7377116961636788,2.0510303403565993,-0.24373095926255725,1.1381269671626377,2.900911280342434,-0.9259095634997726,2.6057327232229244,3.174230595303814,-0.052765172,-0.05941722104941166,0.08333333333333333,0.7,2.607142857142857,0.00048424774951836777,0.053125,2.6666666666666665,1.1712356243027488e-05,0.16666666666666666,0.0060882800608828,1.0,0.027210884353741496,0
0x34ccdc9def2669c0df880e3ed94f0c9283cc77542508b4b7fa296e32c893f1dd,1,0x1e59636dcbbe879f9dfdef2ef40eb3178f723885,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-05 07:20:41.000000 UTC,510,516,0.9883720930232558,130,53,53,1.0,22,516,17,13,5,206,192,1227609,19,148,944247,6,2,3,1,3,142596,49111928863,5876808,93711,0.0,50,2.0,-0.1290259117519749,-0.1423502286296793,-0.14297885972612773,0.6912642217061747,-0.06258123383330486,-0.0591947990708015,-0.17588337982262559,0.8676572090812976,3.8325083218435068,4.153883515420864,-0.3281975825525214,-0.1388325820753914,0.7600585036123565,0.7566255950829092,-0.05956465185653458,-0.14705673823716267,-0.1471591105468148,-0.39968076053527424,-0.39967536854491087,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.4847274993344192,-0.9303178185855416,-0.5734098642520873,-0.48187550679569535,-0.052765172,-0.05928572952220726,0.2,0.6735751295336787,2.504854368932039,0.00041544138610796587,0.1476510067114094,2.789473684210526,5.612932195779075e-05,0.32075471698113206,0.03294573643410853,1.3076923076923077,0.1,0
0x894bfd426e96b770240e43f0fd178531a446d750c3b2b807664faa737e1a00aa,1,0xb41da80fecbdc164c4ec7fcda3320602910976a2,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-09 14:29:07.000000 UTC,83,83,1.0,19,4,4,1.0,3,83,1,1,5,61,73,468094,2,1,4894,6,2,3,1,3,292572,64040145851,13047271,192485,0.0,1,2.0,-0.1290259117519749,-0.14564410143144685,-0.14385427564293365,-1.2656268100258805,-0.06329427253920196,-0.059347914727288696,-0.3954393960898485,-1.1129294756621972,-0.6711974392311221,-0.6725928330816392,-0.3281975825525214,-0.14007933580642562,-1.1843090727558319,-1.1797615154975878,-0.05967211930646707,-0.5933034128148138,-0.6051367103751474,-0.39968076053527424,-0.39967536854491087,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.21469095750012954,-0.5985518105803691,0.42964574718260135,-0.18047367287943283,-0.052765172,-0.059450936825617924,0.2,0.25675675675675674,1.360655737704918,0.00017731443403582606,1.5,2.0,0.0008171603677221655,0.25,0.012048192771084338,1.0,0.05263157894736842,0
0x3948a78772786fb8df348dee4af94a0063c54e38422485c68a227cbd092ca874,1,0x48a5b35225259d5d6f3dd3cdae040d27b4bd324f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 04:06:30.000000 UTC,486,491,0.9898167006109979,129,83,89,0.9325842696629213,40,491,2,2,6,202,191,1220253,48,269,1726959,6,3,3,1,3,289407,89591238542,2982306,185611,0.0,78,2.0,-0.1290259117519749,-0.142535364337507,-0.1430294033702851,0.6736345727716517,-0.06214467952357194,-0.05908230593542316,0.03211705664105932,0.7533046291307494,-0.38971582916395775,-0.27038647070643057,-0.20424381721226598,-0.13886697528176475,0.7437192802815314,0.7378714380413364,-0.05938132503017915,0.22026195308185634,0.2344488292977739,-0.39968076053527424,-0.020546346975380977,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.22038964032208455,-0.030702078152349765,-0.9783134908950152,-0.201449194842099,-0.052765172,-0.05919132534882973,0.16666666666666666,0.671875,2.4306930693069306,0.0003982777356189777,0.14814814814814814,1.8541666666666667,4.80613332098022e-05,0.02247191011235955,0.004073319755600814,1.0,0.015503875968992248,0
0x5a184d5ed6cdd62066db7246d10cbe43b43136e6154e6c194e81ce38086e383e,1,0x0830c30646c7beb57e4bb735449ef547eb7f3792,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-31 23:32:15.000000 UTC,437,441,0.9909297052154195,125,5,5,1.0,2,441,2,2,6,192,187,1199658,2,124,793196,6,3,3,1,3,289407,182502783832,3767428,185611,0.0,2,2.0,-0.1290259117519749,-0.14291334974098852,-0.14313049065859987,0.6031159770335597,-0.06327972072887753,-0.05934478991797263,-0.40699497589338657,0.524599469229653,-0.38971582916395775,-0.27038647070643057,-0.20424381721226598,-0.13895295829769816,0.6783623869582309,0.6853643874335072,-0.05967211930646707,-0.21991333816820777,-0.22080338956830028,-0.39968076053527424,-0.020546346975380977,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.22038964032208455,2.034172280468883,-0.8684850143014081,-0.201449194842099,-0.052765172,-0.0594475652479973,0.16666666666666666,0.6648936170212766,2.296875,0.00036427018010951447,0.016,2.5,6.303604274852275e-06,0.4,0.0045351473922902496,1.0,0.016,0
0xa5d0a61b2e92f85064d1fad994e5dd8cd71586e46a92798168c51bec257eb4f1,1,0x46ec5b109cfd7c86264eb871830a07cd9cc71a26,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-12-27 09:00:19.000000 UTC,309,312,0.9903846153846154,93,84,106,0.7924528301886793,21,312,1,1,5,167,152,969357,11,173,1107672,6,2,3,1,3,173313,48417051033,22636007,114221,0.0,102,2.0,-0.1290259117519749,-0.14390074018273616,-0.143391295862452,0.03896721112882302,-0.06213012771324751,-0.059029184177050054,-0.18743895962616364,-0.06545984331517575,-0.6711974392311221,-0.6725928330816392,-0.3281975825525214,-0.13916791583753163,0.106489570379352,0.09821089085503414,-0.05961522477414987,-0.07116444664232403,-0.06748193992837288,-0.39968076053527424,-0.39967536854491087,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.42942056718845,-0.9457608446278154,1.77098666915177,-0.4192907009396751,-0.052765172,-0.05911040748593471,0.2,0.6078431372549019,1.8682634730538923,0.00031876767922686976,0.1206896551724138,9.636363636363637,7.583465517350337e-05,0.009433962264150943,0.003205128205128205,1.0,0.010752688172043012,0
0x99bb96e56690b0114dac8623363fde08f49219a128a31dd91d12bc44ae869dc6,1,0x8382a153b0267b9979b124ec4490724dbf26cb4d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-24 01:08:57.000000 UTC,126,128,0.984375,33,20,20,1.0,8,128,4,4,5,83,88,560197,6,47,297197,6,2,3,1,3,169366,50926895834,23778247,110732,0.0,13,2.0,-0.1290259117519749,-0.14531239995492223,-0.14376329708345034,-1.0188117249425581,-0.06306144357401107,-0.05929791777823165,-0.33766149707215826,-0.9070948317512105,0.17324739097037087,0.5340262540439865,-0.3281975825525214,-0.13989017317137217,-0.9392207227934553,-0.9449444782490865,-0.059646832847659426,-0.4536615962803108,-0.4626256135216524,-0.39968076053527424,-0.39967536854491087,-0.32497640669327266,-0.24373095926255725,-0.19628816075119607,-0.4365272657976938,-0.8899818329072827,1.9307713638925639,-0.42993713622156954,-0.052765172,-0.059410477894170415,0.2,0.3707865168539326,1.5421686746987953,0.00022492047454649962,0.16666666666666666,3.3333333333333335,6.729520387082013e-05,0.2,0.03125,1.0,0.12121212121212122,0
0x48ff93676428413b61e8c81c74f1fd837b8704f9c4ba59ab31c0dafbb10487bf,26,0x2fa3f1d0a1c75fbe0df8de9c787d12d0b5c3c752,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-16 06:38:12.000000 UTC,600,609,0.9852216748768473,141,12,12,1.0,4,609,3,3,70,227,203,1298622,4,7,46078,11,23,9,3,6,2000000,59766952385,4927645,777756,0.0,9,2.0,9.095612612951028,-0.14165596972532551,-0.14279083736986226,0.885190359985928,-0.06317785805660651,-0.05932291625276017,-0.38388381628631046,1.2930488064973369,-0.10823421909679344,0.131819891668778,7.72879716456408,-0.13865201774193128,0.9397899602514328,0.9376735768655636,-0.05965947607706325,-0.5750892628320525,-0.5850576245880896,2.6430755205535013,7.562034084415217,4.427037087406471,4.599640667108775,3.8069572229903055,2.859587277357698,-0.6935196382042723,-0.7061855683197581,1.6054391456558585,-0.052765172,-0.059423964204652915,0.37142857142857144,0.6911764705882353,2.682819383259912,0.0004620278556594177,0.5,3.0,0.0002604223181926691,0.25,0.0049261083743842365,1.0,0.02127659574468085,0
0xfae71075e84f2044d2a84e0a7c835e87ac6442993d26fb960e6a4943c4d8a6be,2,0x810ea87d6f4d08a9c1701dd0a6b6ae94bb4fe3fa,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-11-16 19:47:26.000000 UTC,209,211,0.990521327014218,56,46,46,1.0,12,211,16,10,18,114,111,711541,5,39,248464,9,8,5,2,5,567951,122020004943,7316837,368407,0.0,39,2.0,0.23995962923614525,-0.1446721389653515,-0.14359549218484782,-0.6133297994485287,-0.06268309650557588,-0.059216672736013956,-0.29143917785800605,-0.5274442663153905,3.551026711776342,2.947264428295238,1.2832013668707989,-0.13962362582197863,-0.5634185861844776,-0.5590922292958798,-0.05965315446236134,-0.4779471295906591,-0.48638518247223234,1.425973008117991,1.8750987608722682,1.2590280913399752,2.177954853923109,2.472542095076472,0.28113766077069285,0.6899976800331344,-0.3719683159059507,0.3563397944927171,-0.052765172,-0.05932281687603414,0.1111111111111111,0.5,1.8508771929824561,0.00029372826902698644,0.3,9.2,0.00018513673958102752,0.34782608695652173,0.07582938388625593,1.6,0.17857142857142858,0
0x46d4913e87bdd2a05b367138058e4a3ff9681f76f8eaca0732c60dec8f5d41d2,2,0x58ba5a24fa8833477339072f1221e03bb3b29130,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-06 00:24:14.000000 UTC,330,333,0.990990990990991,102,100,102,0.9803921568627451,42,333,9,8,18,175,162,1031700,32,315,2025724,9,8,5,2,5,594025,162800000000,2956900,385519,0.0,91,-1.0,0.23995962923614525,-0.14373874643838694,-0.1433488392013598,0.1976340515395302,-0.06189729874805661,-0.05904168341431431,0.05522821624813542,0.030596323843284735,1.5806554413061922,2.142851703544821,1.2832013668707989,-0.13909912942478492,0.2698818036876031,0.2571546663366506,-0.05948247086540973,0.35990376961635945,0.38011044704180813,1.425973008117991,1.8750987608722682,1.2590280913399752,2.177954853923109,2.472542095076472,0.32808472424609736,1.5962958787669241,-0.9818674637506187,0.4085558450928253,-0.052765172,-0.059147494839761595,0.1111111111111111,0.6257668711656442,1.9028571428571428,0.000319860114509921,0.13291139240506328,3.1875,4.936504214540473e-05,0.08823529411764706,0.02702702702702703,1.125,0.0784313725490196,0
