transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x7291cbe5320202e1798e5182dbb84c753a9ddcce6a0bac6f14f3f739b9dbe4ca,1,0x3bf317a8bcf2c79c35c2fb63383e7d5d3ff25b06,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-25 13:50:39.000000 UTC,370771,163026961493,19268427,307485,0.0,458,2.0,522,253,273,0.9267399267399268,46,446,476,0.9369747899159664,138,355,2294407,222,0x7291cbe5320202e1798e5182dbb84c753a9ddcce6a0bac6f14f3f739b9dbe4ca,1,1,40,147,62,393040,99,11,13,4,1,4,-0.044766148103584584,-0.06719967371570196,-0.030266014715112366,-0.08502388944863817,-0.026954728250818,-0.016739470551290256,0.4530039118148188,0.23883787411484117,-0.3997338299241621,-0.5430710103035288,1.7183744128108729,-0.10902596704675313,-0.04909653751184555,-0.051636943825936664,0.12015225591727323,-0.03749113859502746,-0.023008165760532644,1.7325844175034435,0.2954109374232067,1.7529335842891782,-0.8539514746504454,-0.31949630288131214,-0.19164540381176107,2.2317521029419574,0.6286478219163774,-0.20992589456913846,0.0,0.000854502253584473,0.025,0.7301587301587301,1.8571428571428572,0.0006436987489854748,0.38764044943820225,4.808080808080808,0.00019438565416438576,0.0021008403361344537,0.003663003663003663,1.0,0.021739130434782608,0
0x6cc0256908c34611698fa4be6972a0708df17cb459cf6f4f119749f8c092d4e1,1,0xc40d92274004f749fb73e9b206687d88a1ad8b2e,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-27 01:07:57.000000 UTC,379329,47525418240,28206046,316020,0.0,354,2.0,3,560,590,0.9491525423728814,125,329,370,0.8891891891891892,100,874,5596506,539,0x6cc0256908c34611698fa4be6972a0708df17cb459cf6f4f119749f8c092d4e1,1,1,40,263,184,1174401,108,11,13,4,1,4,-0.044766148103584584,1.8730147371486388,1.897079639099794,1.9798046584893931,-0.1708477430496367,-0.1407442143095378,0.10277403553634805,2.329394702433944,-0.3997338299241621,-0.5430710103035288,1.7183744128108729,1.0649285653419378,2.1652389805824837,2.1605536836934296,0.1957672690810701,1.314597036710318,1.3582517903867037,1.7325844175034435,0.2954109374232067,1.7529335842891782,-0.8539514746504454,-0.31949630288131214,-0.182047541974245,-0.7650238657913163,1.780295490116302,-0.18849042879990285,0.0,-0.1257384242033748,0.025,0.6756756756756757,2.2433460076045626,0.00047683842500268223,0.11428571428571428,3.425925925925926,5.878666818427994e-05,0.002702702702702703,0.001694915254237288,1.0,0.008,0
0x4a9e3b5a8dd7934501ffb64e5fda83aeab647dd5e868b4090e32d20146069ce5,1,0x1d3ab981ac3ab27b35e4abaaa0a4de1c48b04c52,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 00:00:47.000000 UTC,152081,35734530041,18682753,142295,0.0,2109,2.0,113,479,505,0.9485148514851485,121,2134,2157,0.9893370421882244,361,571,3681926,453,0x4a9e3b5a8dd7934501ffb64e5fda83aeab647dd5e868b4090e32d20146069ce5,3,3,21,250,180,1148428,457,7,13,2,1,4,-0.044766148103584584,1.3611014886795456,1.3802834858686677,1.8752563775811384,2.0490402202996605,1.9497885884828052,2.50830029102795,1.7622404840256072,0.09013605968878162,1.5700457613055325,-0.7027686234076356,0.9333646953328604,2.092637816054801,2.0870188807424754,3.127949446210526,0.5252276395667348,0.5573876470523047,-1.085771690676213,0.2954109374232067,-1.0185029126107081,-0.8539514746504454,-0.31949630288131214,-0.4369078956610701,-1.070947487325838,0.5531814033517325,-0.6247969655029438,0.0,2.010517209757813,0.047619047619047616,0.6685082872928176,2.02,0.00041709152241888704,0.6311188811188811,4.719912472647702,0.0005795878082319394,0.0013908205841446453,0.005940594059405941,1.0,0.024793388429752067,0
0xbdd7f063f5b259d10fac862d7f1cd52f825663aa96172964ce6a014cf959a1e0,1,0x29bae7efbb88398a5ed92a8305ba42ace8e2e683,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-11-15 23:14:44.000000 UTC,562403,137968906515,7759736,522603,0.0,278,2.0,597,282,295,0.9559322033898305,43,280,289,0.9688581314878892,32,475,3072523,154,0xbdd7f063f5b259d10fac862d7f1cd52f825663aa96172964ce6a014cf959a1e0,1,1,29,194,43,274573,42,9,13,3,2,4,-0.044766148103584584,0.11607790906952893,0.10349298965059091,-0.16343510012982923,-0.23111062958931292,-0.23550255623800997,-0.5239531114882838,-0.20960964741733235,-0.3997338299241621,-0.5430710103035288,0.31666002342121014,0.3666280245245268,-0.39395206901833946,-0.3870409210788796,-0.3587428274534402,0.2751304048281738,0.302475858806103,0.32340636341361534,0.2954109374232067,0.3672153358392351,1.091268285373348,-0.31949630288131214,0.023271336039474868,1.5816016818624787,-0.8542926742250959,0.33033825602798206,0.0,-0.21824863969115277,0.034482758620689655,0.9772727272727273,1.5206185567010309,0.0010270455323519343,0.06722689075630252,6.880952380952381,9.113028897414633e-05,0.0034602076124567475,0.003389830508474576,1.0,0.023255813953488372,0
0xe639c3b166d191ad2f5dbfb5d5e9a131033228b1326a379380d034c1388a3c4d,1,0xff7efba11a8888d6974997d4a8940bf83cd7a580,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-07 09:12:48.000000 UTC,370837,76265797575,14997897,307551,0.0,689,2.0,453,295,315,0.9365079365079365,57,674,710,0.9492957746478873,136,288,1848640,264,0xe639c3b166d191ad2f5dbfb5d5e9a131033228b1326a379380d034c1388a3c4d,1,1,40,169,74,466896,159,11,13,4,1,4,-0.044766148103584584,0.1982368254904945,0.225092084528503,0.20248388304906237,0.25345217238277745,0.2570068505754071,0.43457076043174137,0.5158201668258895,-0.3997338299241621,-0.5430710103035288,1.7183744128108729,0.1136205821993779,0.16870695607120323,0.15746429233259993,0.624252343675919,-0.2120381670063148,-0.2094714144008324,1.7325844175034435,0.2954109374232067,1.7529335842891782,-0.8539514746504454,-0.31949630288131214,-0.19157138431172882,-0.01933272004838433,0.07837308806636382,-0.2097601370131022,0.0,0.28203686774933057,0.025,0.76,1.863905325443787,0.0006318310034118874,0.47058823529411764,4.465408805031447,0.0003645921517482302,0.0014084507042253522,0.0031746031746031746,1.0,0.017543859649122806,0
0x61e33312466603b885ac6c57f828a20e4423a102164b627722e7a7c7618fe569,1,0x8e5666a139163ea723da4d0cd965327a158283d4,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2021-12-15 13:40:11.000000 UTC,363615,56957414573,5557118,359077,0.0,24,2.0,428,119,121,0.9834710743801653,26,28,29,0.9655172413793104,8,57,361406,68,0x61e33312466603b885ac6c57f828a20e4423a102164b627722e7a7c7618fe569,1,1,25,88,25,156525,16,8,13,3,2,3,-0.044766148103584584,-0.914068504516424,-0.9544191357872441,-0.6077652939899119,-0.5410340460790763,-0.5396651352676737,-0.7451509280852127,-0.7767638658256695,-0.3997338299241621,-0.5430710103035288,-0.19305429999321272,-0.7061235309341045,-0.7206573093929126,-0.7212586248002147,-0.57718619881552,-0.8138346380959772,-0.8315777684564434,-0.3811826636312988,0.2954109374232067,0.3672153358392351,1.091268285373348,-1.9835395470548116,-0.19967091202737977,-0.5203034997092761,-1.1381087424234808,-0.08035371531121191,0.0,-0.5274275177687264,0.04,1.0,1.375,0.0007602570818905486,0.13793103448275862,1.8125,7.747497973199192e-05,0.034482758620689655,0.008264462809917356,1.0,0.038461538461538464,0
0x0492cd754d92929ab096a3590d2f0914720965009e99568284ecebb9aca3a787,1,0x833f8a03a3e7d051d2df21f91ac7f1ddb14a6795,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-10-09 15:20:45.000000 UTC,557128,92787276625,15220464,517328,0.0,28,2.0,880,53,56,0.9464285714285714,7,45,45,1.0,19,243,1569870,34,0x0492cd754d92929ab096a3590d2f0914720965009e99568284ecebb9aca3a787,2,1,29,38,6,36688,16,9,13,3,2,4,-0.044766148103584584,-1.3311830032690184,-1.3496161941404583,-1.104369628304122,-0.5201265140142907,-0.5209474380966175,-0.6437685954782869,-1.0009876265917563,-0.15479888511769024,-0.5430710103035288,0.31666002342121014,-1.2121384155844024,-1.0655128408994066,-1.0605413484452884,-0.57718619881552,-0.32927124579001527,-0.32608022533447345,0.32340636341361534,0.2954109374232067,0.3672153358392351,1.091268285373348,-0.31949630288131214,0.0173553835747755,0.40932970289880216,0.10705172905209533,0.3170902089356894,0.0,-0.5225585590588433,0.034482758620689655,1.0,1.4736842105263157,0.0014445746681566681,0.0778688524590164,2.8125,2.866477564080106e-05,0.044444444444444446,0.03571428571428571,2.0,0.14285714285714285,0
0x731241bfc85565ef15a6bad8f91523f4170b44783632cd33966e68cbf269df7d,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-05 02:27:37.000000 UTC,355502,87977836874,26151498,352702,0.0,129,2.0,469,282,302,0.9337748344370861,55,134,136,0.9852941176470589,32,147,939664,251,0x731241bfc85565ef15a6bad8f91523f4170b44783632cd33966e68cbf269df7d,28,3,20,164,72,452615,11,8,9,2,1,5,-0.044766148103584584,0.11607790906952893,0.14605267285786014,0.150209742594935,-0.41066943438100123,-0.4144905354362352,-0.5239531114882838,0.430087552415327,6.213509679850578,1.5700457613055325,-0.8301972042612413,0.06301909373434812,0.13240637380736178,0.11703190019682137,-0.6191945394620739,-0.5793684805285763,-0.5896938577312384,-0.3811826636312988,-2.3073285993451305,-1.0185029126107081,-0.8539514746504454,1.344546941292187,-0.20876970299346623,0.28454510640820085,1.515558828886413,-0.09636438833744237,0.0,-0.39961735163429635,0.05,0.7534246575342466,1.8414634146341464,0.0006230447001431677,0.21621621621621623,12.363636363636363,0.0001426040131323397,0.20588235294117646,0.09271523178807947,9.333333333333334,0.05454545454545454,0
0x65927f86bf6ca0fa5b63f05ba8948bb8d5309677512334740a29c24c46eb11bb,1,0x2d925d3cf3651c2a08fa1bd534d397dca2af588f,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2021-12-08 07:55:10.000000 UTC,266276,71825095009,16641478,245412,0.0,9,2.0,448,87,87,1.0,19,15,15,1.0,4,17,103631,53,0x65927f86bf6ca0fa5b63f05ba8948bb8d5309677512334740a29c24c46eb11bb,4,3,32,68,18,110087,4,10,13,3,1,6,-0.044766148103584584,-1.1163058372449546,-1.1611375970796947,-0.7907247855793577,-0.5570221588345006,-0.5560431202923479,-0.7820172308513675,-0.8756861132224725,0.3350710044952535,1.5700457613055325,0.6989457659820273,-0.9085294847942237,-0.8477093473163577,-0.8527339714847105,-0.6780062163672492,-0.9180418192370443,-0.9394044221079099,1.0279953904585295,0.2954109374232067,0.3672153358392351,-0.8539514746504454,3.0085901854656867,-0.3088373379916209,-0.13455014796561116,0.29015502083254013,-0.36582087602124874,0.0,-0.5456861129307878,0.03125,1.0,1.2794117647058822,0.00079027686941356,0.2222222222222222,3.75,0.00014474293654469662,0.26666666666666666,0.04597701149425287,1.3333333333333333,0.15789473684210525,0
0xc93c3be60dcc5c2219a641771f330f3d96b5f22842b0e3a503fd3c1019b103f5,1,0x4668e2ac7e5e2d332c321ae14db3dbadc0f37d78,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-11-16 14:20:02.000000 UTC,562403,100227445391,26200481,517803,0.0,55,2.0,596,284,297,0.9562289562289562,44,70,71,0.9859154929577465,13,18,117087,155,0xc93c3be60dcc5c2219a641771f330f3d96b5f22842b0e3a503fd3c1019b103f5,1,1,29,195,44,278466,19,9,13,3,2,4,-0.044766148103584584,0.1287177423650621,0.11565289913838211,-0.13729802990276554,-0.4893801433307824,-0.4905311801936511,-0.6990680496275191,-0.20301483092421216,-0.3997338299241621,-0.5430710103035288,0.31666002342121014,0.37674832221753274,-0.3758017778864187,-0.3760190526813874,-0.5519811944275878,-0.9154366397085176,-0.9337758101341571,0.32340636341361534,0.2954109374232067,0.3672153358392351,1.091268285373348,-0.31949630288131214,0.023271336039474868,0.6023705777936886,1.5218704827767204,0.31828316104352616,0.0,-0.4896930877671328,0.034482758620689655,0.9777777777777777,1.523076923076923,0.0010198694997971035,0.6842105263157895,3.736842105263158,0.0005978409401475813,0.014084507042253521,0.003367003367003367,1.0,0.022727272727272728,0
