transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x52520844255e59f411dfd1a388e572c669596a5cfbcbd5c089939d45572ce101,2,0x76d266dfd3754f090488ae12f6bd115cd7e77ebd,0xb436d8a2e3e23af57040b2da8e01463c818e0999,2022-04-13 07:39:47.000000 UTC,10,10,1.0,7,2858,3853,0.7417596677913314,399,6,0x52520844255e59f411dfd1a388e572c669596a5cfbcbd5c089939d45572ce101,3,3,475,3,16,98929,140,406,2608784,36,24,11,2,7,2574705,22215658480,14573914,1349267,0.0,3759,2.0,-0.517757852994018,-0.7290994049557614,-0.6821629764645202,-1.0255469468485552,-0.4749368281434829,-0.3357801496426811,0.977514230498449,-0.7436293003559066,-0.35616677658144663,-0.4822400387556231,0.14200803892136662,-0.4383835342835175,-0.6741988282716974,-0.6781510845002957,-0.745467401001247,-0.008874821845070288,-0.005241807539999308,-0.046787218141909837,1.0274461228565313,0.10265216676235345,-1.1042258189468441,1.8718517143514863,1.398604941043807,-0.8472294466612611,0.12390265178516083,0.46366266404467527,-0.0,-0.34206885641963947,0.004210526315789474,0.4117647058823529,3.3333333333333335,0.00010108157282927322,0.9803439803439803,27.521428571428572,0.0010955291447934574,0.0007786140669608098,0.3,1.0,0.42857142857142855,0
0xa3171a3bb3d7f7b104b66d955f6d9bd37c116818c74d2f8689aca62e2dcc87d1,6,0x718fcce4e82de60b85c45f70d3ff735fa1461bc2,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-24 19:21:47.000000 UTC,197,197,1.0,70,79,81,0.9753086419753086,25,197,0xa3171a3bb3d7f7b104b66d955f6d9bd37c116818c74d2f8689aca62e2dcc87d1,3,3,283,26,130,842500,36,189,1211991,33,9,12,5,5,745204,82500817937,10474493,726976,0.0,74,2.0,0.9223921414683345,0.36678495459661814,0.31254453391215764,0.9601290496818925,-0.9601963457843037,-0.9895689506184169,-1.5113106031723547,2.2036162876954224,-0.35616677658144663,-0.4822400387556231,-0.4130968257317701,-0.08512459313502123,0.44015841065181077,0.4458520540576978,-1.1337703298768578,-0.7718333241381443,-0.7895682033934728,-0.1787750238661041,-0.6409986849873536,0.5247374735740182,0.8839813219674194,0.2594043039407071,-0.3706773821486107,0.5701849151244239,-0.39715035151093386,-0.3865040863808069,-0.0,-0.9821902374570362,0.02120141342756184,0.5343511450381679,7.576923076923077,0.00023382761563487759,0.13157894736842105,2.25,6.518194839569898e-05,0.037037037037037035,0.015228426395939087,1.0,0.04285714285714286,0
0x5f01a5013382c465d0e3c060ea0da32af758e64bf9141f27594d0e3c71419bef,3,0xd409cea9dd8db30504168063953ce1fa20748cab,0x0c37109ad5133fe665878f68a90e4eb78e1b8c3a,2022-01-30 22:48:55.000000 UTC,2,2,1.0,2,773,818,0.9449877750611247,99,1,0x5f01a5013382c465d0e3c060ea0da32af758e64bf9141f27594d0e3c71419bef,2,2,567,1,53,344448,130,260,1668817,56,17,12,5,5,1331857,118052552928,7012590,1304463,0.0,810,2.0,-0.15772035437842985,-0.7759821583055958,-0.7247173084592444,-1.1831402799065274,-0.8390124288203852,-0.861827077257039,-1.0188693259219819,-0.8207823262211247,-0.3899755529073597,-0.6282797943165667,0.4079957865676613,-0.4691017030790389,-0.3125214787965237,-0.3070175591535299,-0.7828042210854403,-0.522201740438567,-0.5330515326253927,0.8331314866860521,0.24883854586271834,0.5247374735740182,0.8839813219674194,0.2594043039407071,0.19666572547898914,1.4060712297087816,-0.8371722363746159,0.40245195862540467,-0.0,-0.8543396712579795,0.005291005291005291,0.037037037037037035,2.0,5.806374818913685e-06,0.3793103448275862,6.292307692307692,0.0004632020987309581,0.0024449877750611247,1.0,1.0,1.0,0
0xd9a8ee4f4b7edd76663e364516d7f68300894c992782210d8e5f6af610e60dfe,4,0x9dab4dfabc5eca084ffdd386a7b676f2b61bd871,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-01-27 14:33:15.000000 UTC,22,22,1.0,11,822,826,0.9951573849878934,159,22,0xd9a8ee4f4b7edd76663e364516d7f68300894c992782210d8e5f6af610e60dfe,13,6,280,3,43,281456,61,524,3383747,31,8,12,4,5,716609,137883444766,14870918,698828,0.0,756,2.0,0.20231714423715827,-0.6587752749310098,-0.618331478472434,-0.8994722804021776,-0.8304562156629903,-0.8604404626208232,-0.6195926146378956,-0.4967396175872089,-0.01807901332231602,-0.04412077207279256,-0.4217703392419753,-0.4383835342835175,-0.4102721137898139,-0.4022380635896162,-1.0404282796663744,0.4060058383880299,0.42991496709288857,-0.26676689434890033,-0.7522283388436125,0.5247374735740182,0.22124560832933154,0.2594043039407071,-0.39833116754238046,1.8723317679802105,0.16165306243850755,-0.4249595576811736,-0.0,-0.8637200117128015,0.014285714285714285,0.25,7.333333333333333,7.81646930081682e-05,0.3028571428571429,13.540983606557377,0.00024292589164441323,0.015738498789346248,0.5909090909090909,2.1666666666666665,0.5454545454545454,0
0x13b304b3b5a412e82187de9c2c5292882816cf19ea4b800e4ac71da92b614e82,3,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0xf138c6f8832e405a35391fa3ef62a4b27299f2d4,2022-03-22 13:36:07.000000 UTC,8,8,1.0,5,4070,4532,0.8980582524271845,366,1,0x13b304b3b5a412e82187de9c2c5292882816cf19ea4b800e4ac71da92b614e82,2,1,1131,6,5,30012,531,551,3553738,86,36,12,4,5,2542861,36245953227,15783068,2496545,0.0,4414,2.0,-0.15772035437842985,-0.7408200932932201,-0.6928015594632012,-1.088584280071744,-0.26330151494424764,-0.21809123239386755,0.7579120392922015,-0.8207823262211247,-0.3899755529073597,-0.7743195498775102,2.0386163264862502,-0.3923062810902354,-0.7817245267643166,-0.7823279879836231,0.714402264290713,0.5009361589498409,0.5253682148951956,2.153009543927995,2.362201969131639,0.5247374735740182,0.22124560832933154,0.2594043039407071,1.3678090976418416,-0.5173515554255449,0.27759101976383055,2.0310605680713225,-0.0,-0.22828880090281586,0.002652519893899204,0.8333333333333334,1.3333333333333333,0.0002665511611634958,0.6630434782608695,8.534839924670433,0.0011452726269430592,0.000441306266548985,0.25,2.0,0.2,0
0x8ebbf531ff151dac1c44c89a39555b964c86a5e3af71b718fbdfff432fc7edec,1,0xb957dccaa1ccfb1eb78b495b499801d591d8a403,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-03-18 00:23:24.000000 UTC,64,64,1.0,37,2054,2207,0.9306751246035342,174,64,0x8ebbf531ff151dac1c44c89a39555b964c86a5e3af71b718fbdfff432fc7edec,2,2,33,13,93,600424,319,238,1524470,10,5,5,1,4,182446,37042349658,5504994,173001,7.114475e+18,2200,2.0,-0.8777953516096061,-0.4126408198443791,-0.3949212355001319,-0.079986948500723,-0.6153285705627776,-0.6210761110440759,-0.519773436816874,0.1513457996806226,-0.3899755529073597,-0.6282797943165667,-1.1358896182488751,-0.2847926903059104,0.07848106117663707,0.07992306574378447,-0.07713832149418608,-0.5995523720074502,-0.6141051764095907,-1.1906815344182604,-1.0859173004123894,-2.4298596741076355,-1.766961532584932,-0.5468194012646824,-0.9149120022090089,-0.4986268187052344,-1.028793790627565,-1.1433383095448195,0.0,-0.6128827595505218,0.030303030303030304,0.39361702127659576,4.923076923076923,0.00010659116459174751,0.7280334728033473,6.918495297805642,0.0013473526226474627,0.0009062075215224287,0.03125,1.0,0.05405405405405406,0
0xeb6dd87f902c9b2807add18cbd7b03165090e8d9a4867afd125d1391584e31d6,3,0x40000019df2f05ae6c1eacdfa4886b5dc6040004,0x83884ec924d43b6c6d1c52d7b6a57ce4121a4a53,2022-01-22 07:40:35.000000 UTC,681,818,0.8325183374083129,73,185,185,1.0,58,1,0xeb6dd87f902c9b2807add18cbd7b03165090e8d9a4867afd125d1391584e31d6,107,37,730,5,84,535491,5,119,758388,54,15,15,4,12,2177405,198479552101,4160844,1661013,0.0,169,2.0,-0.15772035437842985,3.2031915322616005,3.6158245550026225,1.0546850495166757,-0.9416869867091231,-0.9715429603476119,-1.2917084119661073,-0.8207823262211247,3.1599459613135115,4.483111650316456,0.8792566872888138,-0.4076653654879961,-0.009494510317324099,-0.01823150967132208,-1.2495144721378573,-1.017948970039136,-1.0442750970694314,0.7451396162032559,0.026379238150200355,1.7909933940090128,0.22124560832933154,5.902970240378434,1.014382212002201,3.2970570831085397,-1.199640696661477,0.8895664353962494,-0.0,-0.9656877866568863,0.00410958904109589,0.8588235294117647,163.6,0.00127172768220627,0.48333333333333334,37.0,0.00024393813728838367,0.5783783783783784,0.13080684596577016,2.891891891891892,0.5068493150684932,0
0xe96a88b34591b2a5b0ef85a059e079cd1ced0087428f6e979ac9cf0a94625d15,3,0x64f66d7930ec3acca529de7efd70c211db62d4e8,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-15 16:57:24.000000 UTC,159,159,1.0,62,34,35,0.9714285714285714,9,159,0xe96a88b34591b2a5b0ef85a059e079cd1ced0087428f6e979ac9cf0a94625d15,2,1,61,21,121,784376,17,465,2998777,10,6,10,2,4,261142,60816486332,12536108,250467,6.437117e+18,31,2.0,-0.15772035437842985,0.14409187618490463,0.11041145693721775,0.7079797167891372,-0.9680540925615031,-0.9975419847766576,-1.617784392848111,1.6172532911197652,-0.3899755529073597,-0.7743195498775102,-1.0549368254869593,-0.16192001512382476,0.3521828391578496,0.3579901573113954,-1.2047102880368252,0.19856550827147978,0.21374683580091355,-1.1906815344182604,-0.9746876465561305,-0.3194331400493114,-1.1042258189468441,-0.5468194012646824,-0.838806309068666,0.0603466179466039,-0.13511073972422588,-1.037505158352756,0.0,-0.9896597678192094,0.04918032786885246,0.5081967213114754,7.571428571428571,0.00020270864647994522,0.019313304721030045,2.0588235294117645,1.1337951658975756e-05,0.05714285714285714,0.012578616352201259,2.0,0.016129032258064516,0
0xd92bae4e23d797139cbe335a97252ef397993fc420aea3029d473775cfe5882f,8,0xb957dccaa1ccfb1eb78b495b499801d591d8a403,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-02-15 10:52:28.000000 UTC,42,42,1.0,22,1748,1882,0.9287991498405951,146,42,0xd92bae4e23d797139cbe335a97252ef397993fc420aea3029d473775cfe5882f,1,1,202,8,62,403511,275,207,1327557,19,7,12,4,5,571990,29689039521,17684672,556468,0.0,1875,2.0,1.6424671386995107,-0.5415683915564238,-0.5119456484856234,-0.5527669476746392,-0.668761248647733,-0.6774073306403415,-0.7061025687494477,-0.18812751412633674,-0.42378432923327275,-0.7743195498775102,-0.6472816905073121,-0.361588112294714,-0.22454590730256252,-0.21773624321644958,-0.24142032986463682,-0.7085464437636037,-0.7246756500493463,-0.7947181172456774,-0.8634579926998716,0.5247374735740182,0.22124560832933154,0.2594043039407071,-0.5381899816658843,-0.6715165894004969,0.5192925857361634,-0.6194501394035055,-0.0,-0.669338512287877,0.039603960396039604,0.3492063492063492,5.25,0.00010408612383274846,0.7019230769230769,6.843636363636364,0.0013167033003454462,0.0005313496280552603,0.023809523809523808,1.0,0.045454545454545456,0
0xab5eb4a770bafe2190d50c20b540041cc5cbff3d13be92cbd9093fbaff2f8a63,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-03-29 16:19:44.000000 UTC,107,107,1.0,48,5449,5945,0.9165685449957948,429,107,0xab5eb4a770bafe2190d50c20b540041cc5cbff3d13be92cbd9093fbaff2f8a63,10,6,61,18,104,675374,558,516,3333433,10,6,10,2,4,243770,65812027066,12170419,233367,5e+18,5868,2.0,-0.15772035437842985,-0.16064602058901908,-0.16619170102848946,0.2667183842268155,-0.022505230371850437,0.02681957772774291,1.1771525861404921,0.8148618221214977,-0.1195053423000552,-0.04412077207279256,-1.0549368254869593,-0.20799726831710688,0.18600675966925628,0.19321962415572042,0.815211678518035,0.3778783359993451,0.4016626789721924,-1.1906815344182604,-0.9746876465561305,-0.3194331400493114,-1.1042258189468441,-0.5468194012646824,-0.8556065035033773,0.17780091756254068,-0.18159129191009446,-1.0608669801246853,-0.0,0.0242855513436902,0.04918032786885246,0.45714285714285713,5.944444444444445,0.0001584305015732001,0.8297872340425532,10.654121863799283,0.0016346506335508668,0.001682085786375105,0.09345794392523364,1.6666666666666667,0.125,0
