index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,rn,add_feat_hash
846,0x805b4c2bf3fdf229d78c699c1c8735851065e959a4105dc82e9786fb51d7e9e2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:27:05+00:00,39,69,0.5652173913043478,1,75,150,0.5,2,1,69,1,100,1,0,197,6,1,6541,13,33.0,8.0,2,1,1000000,210000000000,7906373,387249,2.673e+21,141,-1.0,0.432027669330178,-0.292538560087713,-0.1320193706948856,-2.3703348286540127,-0.2442980890862997,-0.2427153594678352,-0.6515833407699301,-0.8076552460475412,-0.2097124337832109,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.4355036670566754,-0.5977086715587934,-0.683793924898733,-0.7005507168642647,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-0.0365461649242725,-0.1887846555553765,0.0,-0.2418165817558816,0.15,1.0,69.0,0.1969696969696969,1.0,25.0,0.0114643839804341,0.46,1.0,69.0,1.0,1,,
253,0x87c1ad4ad1d7f24ded56e528589d1e15724c381416abeafe49cbff88732b6289,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:27:37+00:00,40,70,0.5714285714285714,1,76,152,0.5,2,2,70,1,100,1,0,199,6,1,6543,13,33.0,8.0,2,1,1000000,210000000000,2117392,387249,2.673e+21,143,-1.0,0.432027669330178,-0.2925345589467505,-0.1320191084538136,-2.3703348286540127,-0.2442486585357374,-0.242619915795123,-0.6515833407699301,-0.8031664021067462,-0.2096605361849886,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.4354994377208925,-0.5977086715587934,-0.683793924898733,-0.7005498493054156,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-1.472820348312201,-0.1887846555553765,0.0,-0.2417211330100778,0.15,1.0,70.0,0.2,1.0,25.33333333333333,0.0116136919315403,0.4605263157894737,1.0,70.0,1.0,1,,
520,0xacbc5f74d29777556c26f3255b27819f76fc1ddae99598a5bce9dd631cc92d72,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:01+00:00,41,71,0.5774647887323944,1,77,154,0.5,2,3,71,1,100,1,0,201,6,1,6545,13,33.0,8.0,2,1,1000000,210000000000,1615135,387249,2.798e+21,145,-1.0,0.432027669330178,-0.292530557805788,-0.1320188462127416,-2.3703348286540127,-0.244199227985175,-0.2425244721224109,-0.6515833407699301,-0.7986775581659512,-0.2096086385867662,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.43549520838511,-0.5977086715587934,-0.683793924898733,-0.7005489817465664,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-1.5974327390811245,-0.1887846555553765,0.0,-0.241625684264274,0.15,1.0,71.0,0.2029702970297029,1.0,25.666666666666668,0.0117629086465016,0.461038961038961,1.0,71.0,1.0,1,,
727,0x047175ab9d1719b054083b301cd15ce2df7e023b5247e8e2b12fed2f17d839ea,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:30+00:00,42,73,0.5753424657534246,1,78,157,0.4968152866242038,2,4,73,1,97,1,0,203,6,1,6547,11,33.0,8.0,2,1,1000000,210000000000,10239534,362536,2.862e+21,149,-1.0,0.432027669330178,-0.2925265566648255,-0.1320183217305976,-2.3703348286540127,-0.2441497974346126,-0.2423813066133426,-0.6515833407699301,-0.7941887142251561,-0.2095048433903214,-0.465975806527504,0.4447954345072714,-0.129554651525957,-2.436713089608918,-2.435490979049327,-0.5977086715587934,-0.683793924898733,-0.7005481141877173,-0.3293068164558258,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,0.5423223630580379,-0.2739313100938378,0.0,-0.2414347867726665,0.1546391752577319,1.0,73.0,0.2058823529411764,1.0,26.166666666666668,0.0119120342089187,0.464968152866242,1.0,73.0,1.0,1,,
206,0x157548b0ebf242e8339aeb689689068ec17d41639eef2373f8a6c31335f0c7f6,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:30+00:00,42,73,0.5753424657534246,1,78,157,0.4968152866242038,2,5,73,1,100,1,0,203,6,1,6547,13,33.0,8.0,2,1,1000000,210000000000,8954267,387249,2.862e+21,147,-1.0,0.432027669330178,-0.2925265566648255,-0.1320183217305976,-2.3703348286540127,-0.2441497974346126,-0.2423813066133426,-0.6515833407699301,-0.7896998702843612,-0.2095048433903214,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.435490979049327,-0.5977086715587934,-0.683793924898733,-0.7005481141877173,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,0.2234414044125607,-0.1887846555553765,0.0,-0.2415302355184703,0.15,1.0,73.0,0.2058823529411764,1.0,26.166666666666668,0.0119120342089187,0.464968152866242,1.0,73.0,1.0,1,,
592,0x65c7984783beaf33105a3374a2684cdb1c6835408ec2c785d76224f8cbd10635,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,6,77,1,100,1,0,208,6,1,6552,13,33.0,8.0,2,1,1000000,210000000000,3997292,387249,2.862e+21,151,-1.0,0.432027669330178,-0.2925225555238629,-0.1320172727663095,-2.3703348286540127,-0.2440509363334879,-0.2419518100861379,-0.6515833407699301,-0.7852110263435662,-0.209297252997432,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.4354804057098707,-0.5977086715587934,-0.683793924898733,-0.7005459452905946,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-1.006408066539128,-0.1887846555553765,0.0,-0.2413393380268627,0.15,1.0,77.0,0.2057416267942583,1.0,27.666666666666668,0.012208148939417,0.463855421686747,1.0,77.0,1.0,1,,
574,0x22479de5429b0ad2981246f2b1a611bb6cea791b979a0cd417692ca77432fd57,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,7,77,1,97,1,0,208,6,1,6552,11,33.0,8.0,2,1,1000000,210000000000,6488427,362536,2.926e+21,155,-1.0,0.432027669330178,-0.2925225555238629,-0.1320172727663095,-2.3703348286540127,-0.2440509363334879,-0.2419518100861379,-0.6515833407699301,-0.7762333384619762,-0.209297252997432,-0.465975806527504,0.4447954345072714,-0.129554651525957,-2.436713089608918,-2.4354804057098707,-0.5977086715587934,-0.683793924898733,-0.7005459452905946,-0.3293068164558258,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-0.3883454251460939,-0.2739313100938378,0.0,-0.2411484405352551,0.1546391752577319,1.0,77.0,0.2057416267942583,1.0,27.666666666666668,0.012208148939417,0.463855421686747,1.0,77.0,1.0,1,,
955,0x7bec18cc8f607dc4ceeb6305e8544d1972f05b0b1466eb7311504cc50ef19dfd,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,8,77,1,97,1,0,208,6,1,6552,11,33.0,8.0,2,1,1000000,210000000000,7715295,362536,2.926e+21,157,-1.0,0.432027669330178,-0.2925225555238629,-0.1320172727663095,-2.3703348286540127,-0.2440509363334879,-0.2419518100861379,-0.6515833407699301,-0.7807221824027711,-0.209297252997432,-0.465975806527504,0.4447954345072714,-0.129554651525957,-2.436713089608918,-2.4354804057098707,-0.5977086715587934,-0.683793924898733,-0.7005459452905946,-0.3293068164558258,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-0.0839535408360951,-0.2739313100938378,0.0,-0.2410529917894514,0.1546391752577319,1.0,77.0,0.2057416267942583,1.0,27.666666666666668,0.012208148939417,0.463855421686747,1.0,77.0,1.0,1,,
514,0x6bb0d6bdf847a7918a007eef5f9c09ca49e2b03d9679848ab50ffd442deea92f,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,9,77,1,97,1,0,208,6,1,6552,11,33.0,8.0,2,1,1000000,210000000000,5261559,362536,2.926e+21,153,-1.0,0.432027669330178,-0.2925225555238629,-0.1320172727663095,-2.3703348286540127,-0.2440509363334879,-0.2419518100861379,-0.6515833407699301,-0.7717444945211812,-0.209297252997432,-0.465975806527504,0.4447954345072714,-0.129554651525957,-2.436713089608918,-2.4354804057098707,-0.5977086715587934,-0.683793924898733,-0.7005459452905946,-0.3293068164558258,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-0.6927373094560928,-0.2739313100938378,0.0,-0.2412438892810589,0.1546391752577319,1.0,77.0,0.2057416267942583,1.0,27.666666666666668,0.012208148939417,0.463855421686747,1.0,77.0,1.0,1,,
624,0xcbfc1c7539c570acd778ca0a820aed88789b98dca2c704298b435b9d91ac81bd,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:43+00:00,44,78,0.5641025641025641,1,81,167,0.4850299401197604,2,10,78,1,100,1,0,210,6,1,6554,13,33.0,8.0,2,1,1000000,210000000000,5676284,387249,3.258e+21,159,-1.0,0.432027669330178,-0.2925185543829005,-0.1320170105252374,-2.3703348286540127,-0.2440015057829255,-0.2419040882497818,-0.6515833407699301,-0.7672556505803861,-0.2092453553992096,-0.465975806527504,0.4934512705518225,-0.129554651525957,-2.436713089608918,-2.435476176374088,-0.5977086715587934,-0.683793924898733,-0.7005450777317455,-0.1232324632294016,1.6905907925694137,0.6763626790824759,-0.0065533678066977,-0.6694913995885322,-0.16670289457711,0.0619477477542659,-0.5898420312187729,-0.1887846555553765,0.0,-0.2409575430436476,0.15,1.0,78.0,0.2085308056872037,1.0,27.83333333333333,0.0123569794050343,0.467065868263473,1.0,78.0,1.0,1,,
