transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xd314a0a8e2ab2d16f31bbced6cfe6b48dba549ff0cd2c1e176816701164ef549,4,0xc9d42afc4f867c4c3f28e78ae50e65001998f5e9,0x881d40237659c251811cec9c364ef91dc08d300c,2022-06-03 23:36:32.000000 UTC,269910,45029968789,2179678,204511,900000000000000000,1324,2,588,2073250,4873767,0.42538964213923236,600,1381,1386,0.99639249639249639,174,287,1837285,17,0xd314a0a8e2ab2d16f31bbced6cfe6b48dba549ff0cd2c1e176816701164ef549,86,30,20,1269600,599,3858248,198,12,3,6,1,1
0x2d83f59529c1e5a78a4dabbc8005e324255b0ac936267ddc6a934d32594280d8,1,0xe78a041d178c0289c53505ce6f7e155a32deaa2a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:20:07.000000 UTC,73206,46828066063,3456387,43737,0,29,2,1032,4921638,22256720,0.22113042712493125,1357,41,41,1.0,13,31,198192,115,0x2d83f59529c1e5a78a4dabbc8005e324255b0ac936267ddc6a934d32594280d8,3,3,2,6275770,1400,8817461,13,3,0,1,1,1
0xf3fec0e2c6637e9a65517ce7b323546a5a7dc9e168ce60cb3438f0c152d0b007,7,0xbdea472d14d8a233de41f34f5d15fe411d5297e1,0x881d40237659c251811cec9c364ef91dc08d300c,2022-06-03 23:21:09.000000 UTC,647218,47522685301,1046341,407947,0,132,2,1009,2073223,4873719,0.42538829177472071,600,145,147,0.98639455782312924,71,399,2558206,5,0xf3fec0e2c6637e9a65517ce7b323546a5a7dc9e168ce60cb3438f0c152d0b007,5,4,49,1269589,599,3858184,36,14,5,8,1,2
0xa4027e7454cdf58f8806723a3ebb0b2d76d609ece7ddc089d7a02d1c477c8c90,2,0xb199ea67d5352674bb3a432b5e669b8cae21ffc8,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-03 23:40:44.000000 UTC,320955,59323796099,802634,280781,0,2913,2,480,606037,1115416,0.54332822910913958,209,2796,2948,0.94843962008141114,292,676,4359373,23,0xa4027e7454cdf58f8806723a3ebb0b2d76d609ece7ddc089d7a02d1c477c8c90,19,4,14,115570,208,1330787,468,8,4,3,1,3
0xd1d6d9b449fb499c568dceb261682bd97b77de67930320bffdc6e887ab7fbf64,3,0xde98121fdbc37449f0b45342269cad5a92ae7ddb,0x881d4032abe4188e2237efcd27ab435e81fc6bb1,2022-06-03 23:34:59.000000 UTC,250000,49566950749,1522483,179402,0,0,2,627,210564,419277,0.50220737126052706,281,2,2,1.0,1,0,28,6,0xd1d6d9b449fb499c568dceb261682bd97b77de67930320bffdc6e887ab7fbf64,1,1,15,419274,283,1810500,1,7,4,5,1,2
0x38df4e7d86878c7f497da0ac93a41d3329c0be8219b2e94de409e95a606c5c5d,1,0xf297e77a88bc862b1b6be37aadf8e86f735dff99,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-06-03 23:36:39.000000 UTC,173206,39932818327,21045541,120028,2000000000000000000,132,2,584,948141,6631575,0.14297372796055235,171,137,141,0.97163120567375882,27,261,1667020,94,0x38df4e7d86878c7f497da0ac93a41d3329c0be8219b2e94de409e95a606c5c5d,72,19,10,997027,170,1087752,28,6,3,4,3,3
0xcd7dc2ee7e16ffedfd43e3d0b0f914f6673ddd825d9b343830347c0ff84dea01,1,0xaf936dddff985c2fcb5d4b71a2fc49b07597248f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:44:37.000000 UTC,99244,68601207120,8442848,60825,0,0,2,411,4921712,22257067,0.22113030436579986,1357,2,2,1.0,1,0,2,463,0xcd7dc2ee7e16ffedfd43e3d0b0f914f6673ddd825d9b343830347c0ff84dea01,1,1,2,6275834,1400,8817555,1,3,0,1,1,1
0x5c0ac9d138bd6d287926074b73dc0efde6a97a95482537364636ea09a9e2fbd0,1,0x617ffb54868076b7e9ac5f527c80a920bd295c88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:40:13.000000 UTC,99262,52523047892,9091794,60837,0,328,2,489,4921700,22257016,0.22113027191066403,1357,306,337,0.90801186943620182,128,300,1920379,409,0x5c0ac9d138bd6d287926074b73dc0efde6a97a95482537364636ea09a9e2fbd0,1,1,2,6275830,1400,8817540,105,3,0,1,1,1
0xc193219e80bb60453c9b536c8a0ae78186b7d4e7cbabdfb77d0aa53dd1cdebd8,4,0x597dc4159a4b85c086c3c679a0b6c8fe2836886f,0x881d40237659c251811cec9c364ef91dc08d300c,2022-06-03 23:39:00.000000 UTC,305986,46075623586,205484,205484,100000000000000000,153,2,521,2073257,4873787,0.42538933277141572,600,189,192,0.984375,72,452,2903285,26,0xc193219e80bb60453c9b536c8a0ae78186b7d4e7cbabdfb77d0aa53dd1cdebd8,4,3,20,1269603,599,3858259,71,12,3,7,1,1
0x8cc9bb12e0d292908cb31f3c5bb491bea1011c553f61e9283f1ce11330e81477,4,0xad1dfeff0e581ae72145c37a296cf95299c27d76,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-06-03 23:50:57.000000 UTC,239816,68962318594,10062908,159804,0,496,2,258,948185,6631865,0.14297411060086415,171,549,569,0.96485061511423553,77,389,2492674,146,0x8cc9bb12e0d292908cb31f3c5bb491bea1011c553f61e9283f1ce11330e81477,108,33,19,997056,170,1087803,63,6,3,5,4,5
