Fold,Total Values,Matching,Matching Percentage,Actual Attack,Predicted,True Positive,False Positive,False Negative,F1 Score
0.0,200.0,200.0,100.0,8.0,8.0,8.0,0.0,0.0,1.0
1.0,200.0,198.0,99.0,11.0,13.0,11.0,2.0,0.0,0.9166666666666666
2.0,200.0,199.0,99.5,6.0,7.0,6.0,1.0,0.0,0.9230769230769231
3.0,200.0,200.0,100.0,4.0,4.0,4.0,0.0,0.0,1.0
4.0,200.0,174.0,87.0,27.0,1.0,1.0,0.0,26.0,0.07142857142857142
