transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x91c674ae1e8711dcd77f69f25237bc5ab5ffcdb3b3d3029d498ac5f5b746a2a6,1,0xe6271903f4d8f018b2a359d090fe9576121630ea,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 13:36:42+00:00,552,582,0.9484536082474226,124,71,74,0.9594594594594594,45,531,0x91c674ae1e8711dcd77f69f25237bc5ab5ffcdb3b3d3029d498ac5f5b746a2a6,5,3,21,262,183,1171331,25,586,3781906,7,12,2,1,4,152081,24844774555,7177971,142295,0,65,2.0
0x42ff2612a105ee28958025dd27c120e37927b83e17d84d797fddc073d764ff15,1,0xe6271903f4d8f018b2a359d090fe9576121630ea,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 13:35:09+00:00,551,581,0.9483648881239242,124,70,73,0.958904109589041,45,530,0x42ff2612a105ee28958025dd27c120e37927b83e17d84d797fddc073d764ff15,4,3,21,262,183,1171324,25,586,3781899,7,12,2,1,4,152081,25320402278,12807561,147095,0,64,2.0
0x03abea58844448e441f3ac99b9b79611aa9636bfbb99174ab62907f914aba53d,1,0xe6271903f4d8f018b2a359d090fe9576121630ea,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 13:33:03+00:00,550,580,0.9482758620689656,124,69,72,0.9583333333333331,45,529,0x03abea58844448e441f3ac99b9b79611aa9636bfbb99174ab62907f914aba53d,3,3,21,262,183,1171314,25,586,3781889,7,12,2,1,4,152081,20403629212,21932368,147095,0,63,2.0
0x7ab7e5726c19041f5f64908c8c1f9849c05dcd0cefadd00811be4ab4e863e5a0,1,0x1cb8daeffd07c12ee2b60fe5a7d26adb185ee1dd,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 13:21:22+00:00,549,579,0.9481865284974093,124,46,47,0.9787234042553192,14,528,0x7ab7e5726c19041f5f64908c8c1f9849c05dcd0cefadd00811be4ab4e863e5a0,1,1,40,262,183,1171263,22,336,2162378,11,12,4,1,4,396712,23392331429,21715511,333132,0,36,2.0
0x0d970581af26e27ef6b09a80fe409f6af2fc9c501d6aaae5004acfe5cd0964ba,1,0xb4200b15dc6aba5f7f49eb3b2bc65fc33fe3f887,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 11:29:34+00:00,548,578,0.9480968858131488,124,116,118,0.9830508474576272,43,527,0x0d970581af26e27ef6b09a80fe409f6af2fc9c501d6aaae5004acfe5cd0964ba,1,1,40,261,183,1170767,31,394,2533528,11,12,4,1,4,396686,28224572414,15533161,333106,0,114,2.0
0x5e09c9b07e70fc45dd70e2d48c79d5e19903eae0503ca11a3dba70d87bd55268,1,0xb9b7345c26ab148b51f1c5b52a7be0ae46cbf60b,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2022-03-26 10:58:17+00:00,430,438,0.9817351598173516,108,756,778,0.9717223650385604,148,218,0x5e09c9b07e70fc45dd70e2d48c79d5e19903eae0503ca11a3dba70d87bd55268,2,1,26,233,126,807890,113,350,2251783,9,12,3,2,4,563560,23886318312,11298557,538860,0,757,2.0
0xa7798b6e2bd0c7079ab55c8afbddd8ca9b000088455a96163579ce5530689194,1,0x833f8a03a3e7d051d2df21f91ac7f1ddb14a6795,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 10:53:39+00:00,547,577,0.948006932409012,124,88,88,1.0,34,526,0xa7798b6e2bd0c7079ab55c8afbddd8ca9b000088455a96163579ce5530689194,3,3,21,260,183,1170624,22,411,2645952,7,12,2,1,4,152081,22739916126,5249133,142295,0,65,2.0
0xa541d504a24e4c4efaaea68a60c550256f0376864e4ac8a488ae9bd8e39c8d09,1,0xdbf799db53d90802581a062d5837c7942cbedf99,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2022-03-26 10:26:23+00:00,429,437,0.9816933638443937,108,245,250,0.98,95,217,0xa541d504a24e4c4efaaea68a60c550256f0376864e4ac8a488ae9bd8e39c8d09,2,1,26,233,126,807750,65,645,4165774,9,12,3,2,4,563615,21269632524,17135049,543715,0,205,2.0
0xe5463af057388e9200db6dba6c857f19cb464cba991a19ae3bbaa29128900b89,1,0xdbf799db53d90802581a062d5837c7942cbedf99,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2022-03-26 10:24:05+00:00,428,436,0.981651376146789,108,244,249,0.9799196787148594,95,216,0xe5463af057388e9200db6dba6c857f19cb464cba991a19ae3bbaa29128900b89,1,1,26,233,126,807741,65,645,4165765,9,12,3,2,4,563627,15611632020,15177898,543727,0,204,2.0
0xa7c975f4638790f12f028024cd79aa72114eb1f95e3af1fdd5caba6ac1768507,1,0xa1e41f1c2f4c30e9738973d7b8e723578578dc36,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 09:47:33+00:00,546,576,0.9479166666666666,124,1005,1100,0.9136363636363636,166,525,0xa7c975f4638790f12f028024cd79aa72114eb1f95e3af1fdd5caba6ac1768507,3,3,21,260,183,1170320,178,336,2155280,7,12,2,1,4,169181,30783409663,2358682,159395,0,1080,2.0
