transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x5dae412f1eb5f1b90f1018ac43e3b075f9b17126a13a417daeab3f964bd2888a,1,0x8e8ef24363cd364f234f03db24c88110e89bd32b,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-02 03:57:17+00:00,690,700,0.9857142857142857,155,202,202,1.0,83,700,2,2,5,260,217,1388314,51,636,4106168,6,1,3,1,3,142578,43064475615,3799478,93699,0,173,2.0
0x4f075b902de2a5c746ac69a5a432fc3775f0659434bb094237a5dbffae624d20,1,0x8e8ef24363cd364f234f03db24c88110e89bd32b,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-03-02 03:47:12+00:00,45,45,1.0,21,201,201,1.0,83,24,1,1,9,22,32,202598,51,636,4106113,8,1,4,1,3,1640268,51685293888,14731996,1070933,0,172,2.0
0x0318fdeb2de4d81a553f6de9ad396d8fdff4c0d72f34e089edc0f545e897bea6,1,0xa9e89db8c019d4940af250057b8f1a12f0344202,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 17:51:42+00:00,689,699,0.9856938483547923,154,33,33,1.0,16,699,1,1,9,260,216,1385599,10,178,1145385,8,4,3,1,4,408193,76123902694,4312091,248464,0,23,2.0
0x5a9d1adacf7db6344c84902ff78ab5c7b8d029379e483e329d1470b7eb553994,1,0xf56f8ee4ec1eb4276d964d13b7bad75955b1d56c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 15:41:29+00:00,688,698,0.98567335243553,154,86,95,0.9052631578947368,29,698,1,1,9,259,216,1385020,21,361,2326478,8,4,3,1,4,408193,45906561149,20841088,243664,0,80,2.0
0xa87349ff8ea55eb40e938818eb1934e0c55867d4271414434122653056ca7c23,1,0x67dbe3fb2b76e564ebdf860b5011a283e9ae6698,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 15:00:22+00:00,687,697,0.9856527977044476,154,21,22,0.9545454545454544,11,697,2,2,6,258,216,1384835,9,166,1061938,6,2,3,1,3,289407,62160149898,3474309,185611,0,14,2.0
0xeb339b501b2197da320e5ce5a2a2f1b022045c297855ab0f36802aecd28e276e,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 10:26:50+00:00,686,696,0.985632183908046,154,8,8,1.0,3,696,4,2,7,258,216,1383581,2,2,10498,8,2,3,1,4,280000,35964144186,5347039,271455,0,4,2.0
0xf4b96940e466514aaae2e0d3569b3c20c8fe5b897ead9bc6b8b413da233cb23a,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 10:23:22+00:00,685,695,0.9856115107913668,154,7,7,1.0,3,695,3,2,7,258,216,1383566,2,2,10483,8,2,3,1,4,400000,35129406740,4845122,385917,0,3,2.0
0x45464632153f6e4dd8bec89efc38b7c1d7ae647dfe69ff84906418833b8905e4,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 10:20:06+00:00,684,694,0.9855907780979826,154,6,6,1.0,3,694,2,2,7,258,216,1383550,2,2,10467,8,2,3,1,4,150000,45920643446,5668517,147455,0,2,2.0
0x45af8efc12087921907f20a2494acb6c9944b960c6ff17084828b7895e92a77e,1,0x8e5169ed1d65ec5fd4d18d10c08d16d6e0313f1d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 10:11:12+00:00,683,693,0.9855699855699857,154,91,91,1.0,28,693,3,3,12,258,216,1383510,41,230,1477176,10,4,6,1,4,2945922,34016876922,5685137,1878791,0,86,2.0
0x448d43091d8c556e855d26f422ad2760f9d1e6e2188192cdaf79f777b647d771,1,0x8944c6c6052ce812dc46c64b8771e493f785021d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 05:58:02+00:00,682,692,0.9855491329479767,154,4,4,1.0,2,692,2,2,6,258,216,1382334,2,90,577656,6,2,3,1,3,289425,62618747253,7532881,190423,0,2,2.0
0xe591f00a0e1cf3af7df7ead5b254738c488f1bdfbc3593e91ccb6b91e0e6eb5a,1,0xb41da80fecbdc164c4ec7fcda3320602910976a2,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-28 14:20:35+00:00,681,691,0.9855282199710564,153,5,5,1.0,4,691,2,2,6,258,215,1378148,2,143,914948,6,2,3,1,3,289407,56742265177,3821801,185611,0,2,2.0
0x221eb25454b1c3cdb811969e4d435a89f1e06935619a3e185ff0a44bb5061e58,1,0x2cb533ae1807beded8c4ba50aca827d19be9d090,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-28 11:22:44+00:00,680,690,0.9855072463768116,153,64,65,0.9846153846153846,29,690,3,3,9,258,215,1377349,26,293,1882916,8,2,6,1,3,2046670,34833497454,12784781,1322257,0,47,2.0
0x023aee9952c08da3522a52f82f68db444ab9f6823bfe49d5e3a354de7acf6432,1,0x96c53dbe55a62287ea4e53360635caf1ccce467d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-28 08:05:36+00:00,679,689,0.9854862119013064,153,419,424,0.9882075471698112,134,689,1,1,9,258,215,1376454,148,1370,8590371,8,4,3,1,4,408211,32952648490,2997402,243676,0,382,2.0
0x52b7c497bde587ebaf1ed66e1ec57d22b7004dafd38d98dc44001cd842769532,1,0xf2f3d01b47c21a2339f3a508531da76a9380dcd7,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-28 02:02:08+00:00,678,688,0.9854651162790696,153,517,528,0.9791666666666666,152,688,2,2,12,257,215,1374850,172,546,3520818,10,4,6,1,4,1599159,41788052437,16742880,1022381,0,501,2.0
0xc1bff91d75bdbd30b042438bbf59473e3c8a045bc80836d9b2b2f5e33eb5048b,1,0x8918f0f02a40d8f4bdb8d6eaa8b988c3586d303e,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-27 23:28:15+00:00,677,687,0.985443959243086,152,99,101,0.98019801980198,34,687,1,1,9,257,214,1374225,40,146,941865,8,4,3,1,4,408193,42807001389,11553246,248464,0,93,2.0
0x89cf1f4698974908f88a2bc79bcd874330f0cb9a9d0fed7b53693e14b062e7be,1,0x16e62652d94b3972cbe6e5f6e1cdd9d085d2db73,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-27 22:50:36+00:00,676,686,0.9854227405247812,152,5,5,1.0,3,686,2,2,6,256,214,1374045,2,116,750336,6,2,3,1,3,289407,62287395628,1502050,185611,0,2,2.0
0xd767fbfcb5e830bcebb148122320b05c39deaf4370b1af5ec4e51d4d86c27691,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-27 19:27:27+00:00,675,685,0.9854014598540146,152,4,4,1.0,1,685,1,1,9,256,214,1373126,2,0,43,8,4,3,1,4,408211,54312212244,7204249,243676,0,1,2.0
0x8de09527ce0511261db63f2a3397a30f73d068f54b4ea614ac4a8b407c75eb5d,1,0x86ed42e1b942b0d314ed2864ab7879d425f11298,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-27 16:38:06+00:00,674,684,0.9853801169590644,152,106,108,0.9814814814814816,42,684,2,2,5,255,214,1372379,39,1375,8619314,6,1,3,1,3,142596,40072681435,4703244,93711,0,103,2.0
0x39efb684582f73eef5f26bc8bd1dce32f96f79c70c6160395092457af3af38fc,1,0x86ed42e1b942b0d314ed2864ab7879d425f11298,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-02-27 16:36:49+00:00,42,42,1.0,18,105,107,0.9813084112149532,42,23,1,1,9,20,29,186709,39,1375,8619305,8,1,4,1,3,1753411,59034769271,3951578,1145184,0,102,2.0
0xfdff6813d0ab4ce7fe041cd816974b2dfa76fd26f40b8f469f2e7c916409403c,1,0xf71d161fdc3895f21612d79f15aa819b7a3d296a,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 20:26:56+00:00,673,683,0.985358711566618,151,6695,6840,0.9788011695906432,556,683,3,3,5,255,213,1366904,1084,1399,8760150,6,1,3,1,3,369486,64439037649,1972932,106011,0,6704,-1.0
0x96d58210359219395a5f01c24e7b5ed8d6b8c0734c1e76dcf62e868706ff30cb,1,0xf71d161fdc3895f21612d79f15aa819b7a3d296a,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-02-26 20:22:07+00:00,40,40,1.0,17,6694,6839,0.9787980698932592,556,22,1,1,9,19,28,181229,1084,1399,8760136,8,1,4,1,3,1939840,42334163938,5210595,1009827,0,6703,-1.0
0x7345cc1c41c6f44272959e581b1d75cb55a0d731a3d440b8ad1eada066b0ff54,1,0x8893b758d0c37a86767562533575844d4dd0b7c6,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 19:23:38+00:00,672,682,0.9853372434017597,151,33,33,1.0,15,682,4,4,12,255,213,1366633,10,290,1862446,10,4,6,1,4,1875792,49251232486,3681975,1198294,0,16,2.0
0xad470aea094b78455412e78bcbdcc9fb50c4cb71083f0da1cce652b9bf9e63b6,1,0x1e59636dcbbe879f9dfdef2ef40eb3178f723885,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 17:31:54+00:00,671,681,0.9853157121879588,151,60,60,1.0,25,681,18,14,5,255,213,1366114,19,169,1082752,6,1,3,1,3,142578,41657761141,5608773,93699,0,56,2.0
0xc76ec08e32a19d664e3bcdb8c5189dca9b252baa9436d2fb27bd91b6ab4d62c9,1,0x1e59636dcbbe879f9dfdef2ef40eb3178f723885,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-02-26 17:30:11+00:00,39,39,1.0,17,59,59,1.0,25,21,2,2,9,18,28,180451,19,169,1082750,8,1,4,1,3,2308134,33443265780,12059092,1514567,0,55,2.0
0x3894ed81cecaff1a399cb0bcdce0f04f07ea8009394cd7a2b7e906626218da27,1,0x08700f647054950b7b5c003f367dfe50cd3ef298,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 10:06:52+00:00,670,680,0.9852941176470588,151,30,30,1.0,20,680,4,4,12,255,213,1364085,11,560,3614635,10,4,6,1,4,1341597,20000000000,21152040,1055946,0,16,2.0
0xedc9d779952a22f203f7bc3b9364efa0ff25cff8104c993273935fce4f7f7584,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:45:20+00:00,669,679,0.9852724594992636,151,15,15,1.0,2,679,12,2,5,255,213,1363167,2,13,83886,6,1,3,1,3,200000,30675517324,11178151,132582,0,12,2.0
0xacefc2141b52128ff9192da2ad6532f930d526ff09b28e3005ee12a73078296e,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:44:29+00:00,668,678,0.9852507374631267,151,14,14,1.0,2,678,11,2,5,255,213,1363164,2,13,83883,6,1,3,1,3,200000,33447903198,7864545,130582,0,11,2.0
0x21b060a763033bd2367d8dd3a35a0c19649f1b27cc020ae1a8296dd14b04e79f,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:44:25+00:00,667,677,0.9852289512555392,151,13,13,1.0,2,677,10,2,5,255,213,1363163,2,13,83882,6,1,3,1,3,200000,35544527932,1498484,143201,0,10,2.0
0x2e0c1fb49041f05ab60c01277e5ecfaa05317ef89260fac9d7cbd49eb8efc8a3,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:43:51+00:00,666,676,0.985207100591716,151,12,12,1.0,2,676,9,2,5,255,213,1363159,2,13,83878,6,1,3,1,3,200000,40084907112,2334067,132582,0,9,2.0
0x4a3fe375b2173bac60e2a39b171d14a552333ddf08edc0750b838556e9640fab,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:42:49+00:00,665,675,0.9851851851851852,151,11,11,1.0,2,675,8,2,5,255,213,1363155,2,13,83874,6,1,3,1,3,200000,37929559967,5704945,132582,0,8,2.0
0x1709ebd86f3414de1686242f41b58e732ac3b6a0df51c56fcc66357a14bb9c45,1,0x3f8afe5d97085cd1521706b1d32fb31a0d0e0d1a,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 04:34:26+00:00,664,674,0.9851632047477744,151,15,17,0.8823529411764705,10,674,6,5,12,255,213,1362599,6,160,1026018,10,4,6,1,4,1975126,20161846329,25679452,1268947,0,10,2.0
0x792d23c7f77846d422f473b3c924ff288e5fef9fbffd806ad8440db060f88ce8,1,0x3f8afe5d97085cd1521706b1d32fb31a0d0e0d1a,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 04:34:26+00:00,664,674,0.9851632047477744,151,15,17,0.8823529411764705,10,673,6,5,4,255,213,1362599,6,160,1026018,5,0,3,1,2,1975126,21169086818,25733025,53573,0,11,2.0
0x64d76c1e7c15fd3cea42fd96b90b07016f0bb3bb3d3ba9088be3fdb845ec7535,1,0xf2f3d01b47c21a2339f3a508531da76a9380dcd7,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 04:16:53+00:00,663,672,0.9866071428571428,151,514,525,0.979047619047619,151,672,1,1,9,255,213,1362528,172,544,3508496,8,4,3,1,4,408211,24540866940,7609482,248476,0,498,2.0
0x62cedb17f4572f6a6a7e375d12cdc10fb7c747419fa19be2bcfb6c715b38f25d,31,0x2fa3f1d0a1c75fbe0df8de9c787d12d0b5c3c752,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 02:04:24+00:00,662,671,0.9865871833084948,151,28,28,1.0,7,671,8,6,80,254,213,1361948,4,17,109404,11,27,9,3,6,2000000,53153397800,7125778,865642,0,24,2.0
0x954fbf6504a25b6661317086aeb2f08ba840a2a9a9d0005f7daa24e41f270967,30,0x2fa3f1d0a1c75fbe0df8de9c787d12d0b5c3c752,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 01:40:15+00:00,661,670,0.9865671641791044,151,25,25,1.0,7,670,7,6,78,254,213,1361843,4,17,109299,11,26,9,3,6,2000000,49884417808,2962264,852865,0,21,2.0
0xc4a9e2348141012c59bdb91df2772bed0b64e4637a603c3261b663172f05a893,1,0x461e76a4fe9f27605d4097a646837c32f1ccc31c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-25 14:01:05+00:00,660,669,0.9865470852017936,150,8247,9065,0.9097628240485384,488,669,3,3,9,254,212,1358684,1558,687,4438515,8,4,3,1,4,382153,46446290127,11205582,231376,0,8922,2.0
