transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xe57dbad2341b2470f2bc5405677886bf5225598050df5f0b802dccb5a5eef602,1,0x78a2ee276001c83ce885417c3c1934bca0fabded,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:45:08.000000 UTC,69163,192962124155,21828765,46109,0,25,2,1021,5382498,116725019,0.046112633316427218,1386,34,35,0.97142857142857142,12,420,0xe57dbad2341b2470f2bc5405677886bf5225598050df5f0b802dccb5a5eef602,4,3,1,16396106,1436,8912073,10,166,1071286,2,,,1,0
0x31202e930e99ec274735725a35c9c2c260d4dcae1fcd95a3868cefe63645f88d,1,0xb89eb49bc337d2bfaee360ec63ad606b6788ceb2,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:40:25.000000 UTC,100000,203000000000,11362369,63209,0,212499,,1280,5382483,116724788,0.046112596066569853,1386,146137,218000,0.67035321100917433,352,195,0x31202e930e99ec274735725a35c9c2c260d4dcae1fcd95a3868cefe63645f88d,194461,352,1,16396094,1436,8912058,5094,351,2274764,2,,,1,0
0xe2a651eabb2a760a1ea98e159c91cb15410f8da5cae99ee1fe4e0aa64fd1ce1f,2,0x5af1d7be268dbed300dc2bc377632373e4f405d2,0x11111112542d85b3ef69ae05771c2dccff4faa26,2021-11-03 23:42:40.000000 UTC,258795,198783107233,4200948,174346,0,9,,1170,789057,1463076,0.53931374720110237,235,15,15,1.0,6,7,0xe2a651eabb2a760a1ea98e159c91cb15410f8da5cae99ee1fe4e0aa64fd1ce1f,6,5,12,232870,234,1508036,4,6,38780,7,4,2,1,3
0xf572671d2c518fc774e3d41ffeeb555aeab46cc68df454d518ae6b21000fa1a1,2,0x58bad305ee8809093a46172b8dcca6e711c7df5f,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,2021-11-03 23:41:57.000000 UTC,355065,193345639864,5660987,269089,1000000000000000000,19,,1223,246245,285942,0.8611711465961629,323,28,28,1.0,19,1,0xf572671d2c518fc774e3d41ffeeb555aeab46cc68df454d518ae6b21000fa1a1,1,1,16,27662,322,2083852,9,1548,9416286,10,6,6,1,2
0xe6f94a95bbf83af3d9df9943856eb1edbb0c548a39ea72d32fd10a0e112b8416,5,0x0a103c3357f73f60999759d6d4ccbc23ea3b17f1,0x881d40237659c251811cec9c364ef91dc08d300c,2021-11-03 23:42:23.000000 UTC,312870,181711915667,10638325,228105,0,105,2,1187,1262352,2817858,0.44798282951092638,388,111,120,0.925,51,1,0xe6f94a95bbf83af3d9df9943856eb1edbb0c548a39ea72d32fd10a0e112b8416,89,48,21,796628,387,2505154,17,190,1222390,10,5,5,1,2
0x30027851bf5d10b248725ff82660f242425af24fbafc0e45cdb2d1b861061852,1,0x822d9f6f6d1e0a9785a8dff3083858e2c888f078,0x80374c0252fe23378d45ef088f5b924ad29fc54a,2021-11-03 23:38:27.000000 UTC,210000,192853305569,7218929,44542,0,182498,,1456,136,136,1.0,39,158044,182532,0.86584270155370013,877,1,0x30027851bf5d10b248725ff82660f242425af24fbafc0e45cdb2d1b861061852,136,39,2,1,221,1428930,13702,882,5647833,3,0,1,1,1
0x1a363c12e8084e2fbfcf86eb781b720d7656d61cbdad359693983a1c12faddf6,2,0x5ed54861901eb36fe7771c90fa13e646a141d851,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,2021-11-03 23:42:07.000000 UTC,355113,242624460845,1663895,269137,79000000000000000000,317,,1218,246246,285943,0.86117163210849712,323,569,570,0.99824561403508771,143,2,0x1a363c12e8084e2fbfcf86eb781b720d7656d61cbdad359693983a1c12faddf6,130,85,16,27662,322,2083853,11,151,973833,10,6,6,1,2
0x062ce71171cc7f1049135626a3982e3e793fe420d879766fee7e009c0dacb8d0,2,0x13fefdd563a930f07b1ac8a2227acc27c3c12946,0x11111112542d85b3ef69ae05771c2dccff4faa26,2021-11-03 23:43:22.000000 UTC,309994,200426408022,12157664,146758,0,3593,2,1079,789059,1463090,0.53930995359137168,235,3472,3678,0.94399129961935835,436,9,0x062ce71171cc7f1049135626a3982e3e793fe420d879766fee7e009c0dacb8d0,166,78,9,232874,234,1508039,497,1124,7080514,7,2,3,1,3
0xb5b1fb1964f3804859fa9f2069027bd6523ddb7cdc6800d64c25ec735b235d36,1,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:52.000000 UTC,250000,199844154863,6078051,63209,0,3543059,2,1243,5382487,116724827,0.046112614928099233,1386,797862,3716873,0.21465947316467363,191,225,0xb5b1fb1964f3804859fa9f2069027bd6523ddb7cdc6800d64c25ec735b235d36,575829,177,1,16396095,1436,8912062,1892586,189,1216029,2,,,1,0
0x5ab084baf11f70f63b3078051407f34efaadae4c2cc334a31c60c2b1c16a8c44,1,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:39:36.000000 UTC,250000,171499822096,12150276,63221,0,3542984,2,1380,5382479,116724719,0.046112589056650458,1386,797855,3716801,0.21466174810004626,191,117,0x5ab084baf11f70f63b3078051407f34efaadae4c2cc334a31c60c2b1c16a8c44,575815,177,1,16396092,1436,8912054,1892544,189,1216021,2,,,1,0
0x31379f16792de1bd22c6ce71c927b459a10a15d3c4d1c283d2498b67fa11b6f9,2,0x4ecd96c2f55b981e1d4a6000d4adc28ab6f67ce5,0x03f7724180aa6b939894b5ca4314783b0b36b329,2021-11-03 23:45:08.000000 UTC,215604,192962124155,14578219,193069,0,118,2,1029,311398,800553,0.3889786185299412,121,120,127,0.94488188976377951,22,1,0x31379f16792de1bd22c6ce71c927b459a10a15d3c4d1c283d2498b67fa11b6f9,17,7,12,113568,120,775085,24,150,964086,7,4,2,1,3
0x16585a1a23422e36e3242c12a7213da80ea50616992c7ba21c9150100053b681,2,0xd760b9cb76124df30d80bcc237c44edad4b20110,0x11111112542d85b3ef69ae05771c2dccff4faa26,2021-11-03 23:39:36.000000 UTC,121381,204000000000,4640791,107865,6912743117050000000,7521,,1386,789053,1463063,0.53931580526607537,235,7520,7524,0.99946836788942051,76,5,0x16585a1a23422e36e3242c12a7213da80ea50616992c7ba21c9150100053b681,3458,15,8,232869,234,1508024,14,113,730178,5,3,2,1,2
0xe808f956c7011309661f0904a688b7973562f04dafadc152d766788312de5f0a,1,0xc8e0601452b87e988b40d9ccda1c52815aaafa38,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:38:27.000000 UTC,100000,219489175581,3108202,46912,0,29,,1466,5382474,116724635,0.046112579405367171,1386,33,33,1.0,13,38,0xe808f956c7011309661f0904a688b7973562f04dafadc152d766788312de5f0a,30,12,1,16396074,1436,8912049,1,15,102002,2,,,1,0
0x8d39ccb71a2693d265ef9a34716b2f072ccd67f3525f0d02070efdf1190758e5,1,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:57.000000 UTC,94831,205844154863,2560666,63209,0,1520718,,1231,5382488,116724838,0.046112619149662047,1386,935989,1647626,0.56808341213357882,1211,245,0x8d39ccb71a2693d265ef9a34716b2f072ccd67f3525f0d02070efdf1190758e5,367191,911,1,16396095,1436,8912063,290816,1210,7595652,2,,,1,0
