trace_involved_amt,contract_block_involved,contract_tx_count,contract_main_active_days,sender_block_involved,sender_tx_count,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,is_sus,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_block_per_tx,contract_block_per_tx,sender_call_contract_day_ratio
15,4,9,1,17,28,2,1,9,1,97,1,0,57,6,1,6401,11,33.0,8.0,2,1,1000000,190000000000,8134147,362536,1.123e+21,17,0.2260755413738389,-0.9812785410706026,-0.9820745330577813,-1.0433969024181342,-0.2521563954726879,-0.3434708958595185,-0.1769451835125169,-1.6057132897770523,-1.5240455469816507,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453324836927689,-0.1768605857548943,-0.209700492216681,-0.2104942580764787,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,0.3608463963307236,-0.9792274731384468,0.0,-0.3470941486503929,1,0.15463917525773196,1.0,9.0,0.06896551724137931,1.0,4.666666666666667,0.002655420181193377,0.32142857142857145,1.0,9.0,0.6071428571428571,0.4444444444444444,1.0
15,5,10,1,19,30,2,2,10,1,100,1,0,59,6,1,6403,13,33.0,8.0,2,1,1000000,190000000000,10551593,387249,1.123e+21,23,0.2260755413738389,-0.9812003728954682,-0.9819999416565136,-1.0433969024181342,-0.2477630016884382,-0.3392852040241227,-0.1769451835125169,-1.5667449208732005,-1.4872624686152391,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453295838923056,-0.1768605857548943,-0.209700492216681,-0.2104913161092425,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,1.2066172913651063,-0.8855175819661096,0.0,-0.33447806543623,1,0.15,1.0,10.0,0.08333333333333333,1.0,5.0,0.002966895690193629,0.3333333333333333,1.0,10.0,0.6333333333333333,0.5,1.0
15,6,11,1,21,33,2,3,11,1,100,1,0,63,6,1,6407,13,33.0,8.0,2,1,1000000,190000000000,2542841,387249,1.123e+21,25,0.2260755413738389,-0.9811222047203336,-0.9819253502552456,-1.0433969024181342,-0.2433696079041884,-0.333006666271029,-0.1769451835125169,-1.5277765519693485,-1.4504793902488278,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453237842913794,-0.1768605857548943,-0.209700492216681,-0.2104854321747701,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.595335408777277,-0.8855175819661096,0.0,-0.3302727043648423,1,0.15,1.0,11.0,0.09375,1.0,5.5,0.0032771535580524347,0.3333333333333333,1.0,11.0,0.6363636363636364,0.5454545454545454,1.0
15,7,16,1,22,43,2,4,16,1,97,1,0,68,6,1,6412,11,33.0,8.0,2,1,1000000,190000000000,5958506,362536,1.325e+21,33,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.488808183065497,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.4003262775753326,-0.9792274731384468,0.0,-0.3134512600792917,1,0.15463917525773196,1.0,16.0,0.10144927536231885,1.0,7.166666666666667,0.003430531732418525,0.37209302325581395,1.0,16.0,0.5116279069767442,0.4375,1.0
15,7,16,1,22,43,2,5,16,1,97,1,0,68,6,1,6412,11,33.0,8.0,2,1,1000000,190000000000,4732183,362536,1.325e+21,31,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.4498398141616446,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.8293692846626676,-0.9792274731384468,0.0,-0.3176566211506794,1,0.15463917525773196,1.0,16.0,0.10144927536231885,1.0,7.166666666666667,0.003430531732418525,0.37209302325581395,1.0,16.0,0.5116279069767442,0.4375,1.0
15,7,16,1,22,43,2,6,16,1,97,1,0,68,6,1,6412,11,33.0,8.0,2,1,1000000,190000000000,7184829,362536,1.325e+21,35,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.4108714452577928,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,0.0287167295120023,-0.9792274731384468,0.0,-0.309245899007904,1,0.15463917525773196,1.0,16.0,0.10144927536231885,1.0,7.166666666666667,0.003430531732418525,0.37209302325581395,1.0,16.0,0.5116279069767442,0.4375,1.0
15,7,16,1,22,43,2,7,16,1,100,1,0,68,6,1,6412,13,33.0,8.0,2,1,1000000,190000000000,2242138,387249,1.325e+21,27,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.371903076353941,-1.26656399841677,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.7005397630625534,-0.8855175819661096,0.0,-0.3260673432934546,1,0.15,1.0,16.0,0.10144927536231885,1.0,7.166666666666667,0.003430531732418525,0.37209302325581395,1.0,16.0,0.5116279069767442,0.4375,1.0
15,7,16,1,22,43,2,8,16,1,97,1,0,68,6,1,6412,11,33.0,8.0,2,1,1000000,190000000000,3505860,362536,1.325e+21,29,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.332934707450089,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.258412291750003,-0.9792274731384468,0.0,-0.321861982222067,1,0.15463917525773196,1.0,16.0,0.10144927536231885,1.0,7.166666666666667,0.003430531732418525,0.37209302325581395,1.0,16.0,0.5116279069767442,0.4375,1.0
15,8,17,1,23,45,2,9,17,1,100,1,0,78,6,1,6422,13,33.0,8.0,2,1,1000000,190000000000,4966561,387249,1.5e+21,37,0.2260755413738389,-0.9809658683700648,-0.9814778018476392,-1.0433969024181342,-0.2389762141199387,-0.3078925152586544,-0.1769451835125169,-1.2939663385462372,-1.2297809200503589,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.045302035787906,-0.1768605857548943,-0.209700492216681,-0.2104633674204988,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.7473694837006736,-0.8855175819661096,0.0,-0.3050405379365163,1,0.15,1.0,17.0,0.10126582278481013,1.0,7.5,0.0035808812081581814,0.37777777777777777,1.0,17.0,0.5111111111111111,0.47058823529411764,1.0
15,9,18,1,24,46,2,10,18,1,100,1,0,83,6,1,6427,13,33.0,8.0,2,1,1000000,190000000000,6319563,387249,1.542e+21,39,0.2260755413738389,-0.9808877001949304,-0.9814032104463716,-1.0433969024181342,-0.2367795172278139,-0.3057996693409565,-0.1769451835125169,-1.2549979696423852,-1.192997841683947,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0452947862867483,-0.1768605857548943,-0.209700492216681,-0.2104560125024083,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.2740063920232131,-0.8855175819661096,0.0,-0.3008351768651287,1,0.15,1.0,18.0,0.10714285714285714,1.0,7.666666666666667,0.00373366521468575,0.391304347826087,1.0,18.0,0.5217391304347826,0.5,1.0
