transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,index
0xd5caff14639ef8e4a6476a88f6d56d8eddfc3ed40c066c66878e6200a41851f2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:00:06+00:00,1000000,190000000000,8134147,362536,1.123e+21,17,,189,4,9,0.4444444444444444,1,17,28,0.6071428571428571,2,1,6401,1,0xd5caff14639ef8e4a6476a88f6d56d8eddfc3ed40c066c66878e6200a41851f2,9,1,97,1,0,57,6,11,33.0,8.0,2,1,1,0.2260755413738389,-0.9812785410706026,-0.9820745330577813,-1.0433969024181342,-0.2521563954726879,-0.3434708958595185,-0.1769451835125169,-1.6057132897770523,-1.5240455469816507,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453324836927689,-0.1768605857548943,-0.209700492216681,-0.2104942580764787,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,0.3608463963307236,-0.9792274731384468,0.0,-0.3470941486503929,0.1546391752577319,1.0,9.0,0.0689655172413793,1.0,4.666666666666667,0.0026554201811933,0.3214285714285714,1.0,9.0,1.0,
0xed0b5d1a9b8f95babbd04226497fe24516286d1da29aeac16a1a8c9b0801afa7,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:00:39+00:00,1000000,190000000000,10551593,387249,1.123e+21,23,,180,5,10,0.5,1,19,30,0.6333333333333333,2,1,6403,2,0xed0b5d1a9b8f95babbd04226497fe24516286d1da29aeac16a1a8c9b0801afa7,10,1,100,1,0,59,6,13,33.0,8.0,2,1,1,0.2260755413738389,-0.9812003728954682,-0.9819999416565136,-1.0433969024181342,-0.2477630016884382,-0.3392852040241227,-0.1769451835125169,-1.5667449208732005,-1.4872624686152391,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453295838923056,-0.1768605857548943,-0.209700492216681,-0.2104913161092425,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,1.2066172913651063,-0.8855175819661096,0.0,-0.33447806543623,0.15,1.0,10.0,0.0833333333333333,1.0,5.0,0.0029668956901936,0.3333333333333333,1.0,10.0,1.0,
0xcfa6008563a8cd27575b549ddf2f107ea96ee98b4eec7cd0a3a62e807ecf2549,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:01:25+00:00,1000000,190000000000,2542841,387249,1.123e+21,25,,177,6,11,0.5454545454545454,1,21,33,0.6363636363636364,2,1,6407,3,0xcfa6008563a8cd27575b549ddf2f107ea96ee98b4eec7cd0a3a62e807ecf2549,11,1,100,1,0,63,6,13,33.0,8.0,2,1,1,0.2260755413738389,-0.9811222047203336,-0.9819253502552456,-1.0433969024181342,-0.2433696079041884,-0.333006666271029,-0.1769451835125169,-1.5277765519693485,-1.4504793902488278,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453237842913794,-0.1768605857548943,-0.209700492216681,-0.2104854321747701,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.595335408777277,-0.8855175819661096,0.0,-0.3302727043648423,0.15,1.0,11.0,0.09375,1.0,5.5,0.0032771535580524,0.3333333333333333,1.0,11.0,1.0,
0x8868e9119fc2fce3cd71375eabdf319132a21d6ccc67a0e397defd6e4a0385ee,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:02:28+00:00,1000000,190000000000,5958506,362536,1.325e+21,33,,172,7,16,0.4375,1,22,43,0.5116279069767442,2,1,6412,4,0x8868e9119fc2fce3cd71375eabdf319132a21d6ccc67a0e397defd6e4a0385ee,16,1,97,1,0,68,6,11,33.0,8.0,2,1,1,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.488808183065497,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.4003262775753326,-0.9792274731384468,0.0,-0.3134512600792917,0.1546391752577319,1.0,16.0,0.1014492753623188,1.0,7.166666666666667,0.0034305317324185,0.3720930232558139,1.0,16.0,1.0,
0xdb70cc0e79b68750cb866ab512e00862fdc56aae19461b7b1e2d033a11946bee,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:02:28+00:00,1000000,190000000000,4732183,362536,1.325e+21,31,,167,7,16,0.4375,1,22,43,0.5116279069767442,2,1,6412,5,0xdb70cc0e79b68750cb866ab512e00862fdc56aae19461b7b1e2d033a11946bee,16,1,97,1,0,68,6,11,33.0,8.0,2,1,1,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.4498398141616446,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.8293692846626676,-0.9792274731384468,0.0,-0.3176566211506794,0.1546391752577319,1.0,16.0,0.1014492753623188,1.0,7.166666666666667,0.0034305317324185,0.3720930232558139,1.0,16.0,1.0,
0xcdbfac125ce2be84f3741c140879122869363b936064bde3e3e5bbe115dad344,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:02:28+00:00,1000000,190000000000,7184829,362536,1.325e+21,35,,175,7,16,0.4375,1,22,43,0.5116279069767442,2,1,6412,6,0xcdbfac125ce2be84f3741c140879122869363b936064bde3e3e5bbe115dad344,16,1,97,1,0,68,6,11,33.0,8.0,2,1,1,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.4108714452577928,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,0.0287167295120023,-0.9792274731384468,0.0,-0.309245899007904,0.1546391752577319,1.0,16.0,0.1014492753623188,1.0,7.166666666666667,0.0034305317324185,0.3720930232558139,1.0,16.0,1.0,
0x3ef11ae343f4159e4533ee9657bd5fa490bb1318c958bdeb6d1dfc82c0669ec9,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:02:28+00:00,1000000,190000000000,2242138,387249,1.325e+21,27,,168,7,16,0.4375,1,22,43,0.5116279069767442,2,1,6412,7,0x3ef11ae343f4159e4533ee9657bd5fa490bb1318c958bdeb6d1dfc82c0669ec9,16,1,100,1,0,68,6,13,33.0,8.0,2,1,1,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.371903076353941,-1.26656399841677,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.7005397630625534,-0.8855175819661096,0.0,-0.3260673432934546,0.15,1.0,16.0,0.1014492753623188,1.0,7.166666666666667,0.0034305317324185,0.3720930232558139,1.0,16.0,1.0,
0xb02bc9eed804d66dd36f9fc0e3529b7267dd9986e101e3d0e2471c70329d0094,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:02:28+00:00,1000000,190000000000,3505860,362536,1.325e+21,29,,171,7,16,0.4375,1,22,43,0.5116279069767442,2,1,6412,8,0xb02bc9eed804d66dd36f9fc0e3529b7267dd9986e101e3d0e2471c70329d0094,16,1,97,1,0,68,6,11,33.0,8.0,2,1,1,0.2260755413738389,-0.9810440365451992,-0.9815523932489072,-1.0433969024181342,-0.2411729110120636,-0.3120782070940501,-0.1769451835125169,-1.332934707450089,-1.26656399841677,-0.1117513375235596,-0.7846316988387001,-0.9894711210154336,-1.045194172140003,-1.0453165347902216,-0.1768605857548943,-0.209700492216681,-0.2104780772566797,-1.1056626325683194,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-1.258412291750003,-0.9792274731384468,0.0,-0.321861982222067,0.1546391752577319,1.0,16.0,0.1014492753623188,1.0,7.166666666666667,0.0034305317324185,0.3720930232558139,1.0,16.0,1.0,
0x0c567ec5eee5bf839c301f0d249c014c74f267035154712f10408b8f08144e98,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:03:33+00:00,1000000,190000000000,4966561,387249,1.5e+21,37,,162,8,17,0.4705882352941176,1,23,45,0.5111111111111111,2,1,6422,9,0x0c567ec5eee5bf839c301f0d249c014c74f267035154712f10408b8f08144e98,17,1,100,1,0,78,6,13,33.0,8.0,2,1,1,0.2260755413738389,-0.9809658683700648,-0.9814778018476392,-1.0433969024181342,-0.2389762141199387,-0.3078925152586544,-0.1769451835125169,-1.2939663385462372,-1.2297809200503589,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.045302035787906,-0.1768605857548943,-0.209700492216681,-0.2104633674204988,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.7473694837006736,-0.8855175819661096,0.0,-0.3050405379365163,0.15,1.0,17.0,0.1012658227848101,1.0,7.5,0.0035808812081581,0.3777777777777777,1.0,17.0,1.0,
0x8315e74a1434b3a113d0e37e7bb34331a6ce5dd09c7b7e9799df83341dfe4329,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:04:02+00:00,1000000,190000000000,6319563,387249,1.542e+21,39,,161,9,18,0.5,1,24,46,0.5217391304347826,2,1,6427,10,0x8315e74a1434b3a113d0e37e7bb34331a6ce5dd09c7b7e9799df83341dfe4329,18,1,100,1,0,83,6,13,33.0,8.0,2,1,1,0.2260755413738389,-0.9808877001949304,-0.9814032104463716,-1.0433969024181342,-0.2367795172278139,-0.3057996693409565,-0.1769451835125169,-1.2549979696423852,-1.192997841683947,-0.1117513375235596,-0.6759903866918031,-0.9894711210154336,-1.045194172140003,-1.0452947862867483,-0.1768605857548943,-0.209700492216681,-0.2104560125024083,-0.7764330645579016,0.9220624577226844,-0.8748190928722421,-0.8954807057280894,-1.0089066577910908,-0.9266850299909624,-0.4155309507238978,-0.2740063920232131,-0.8855175819661096,0.0,-0.3008351768651287,0.15,1.0,18.0,0.1071428571428571,1.0,7.666666666666667,0.0037336652146857,0.391304347826087,1.0,18.0,1.0,
