transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xa534dc9ef3963934d86f156597461b9c8bfe03176d85c15d40b90be7c47ea353,1,0x2f53fc0f66e6703f0070d0cb466b2518af4da909,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-15 18:04:47.000000 UTC,112994,8000000000,7336407,101491,147868295959657082,34,,864,66,68,0.97058823529411764,29,33,36,0.91666666666666663,7,46,297678,68,0xa534dc9ef3963934d86f156597461b9c8bfe03176d85c15d40b90be7c47ea353,7,3,7,23,71,429072,13,5,2,3,1,3
0xb21ac5eb2a7d5168c9b239cbd654ca3c11e40fd1cf43e5898a7a30778345b847,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-19 21:22:09.000000 UTC,91514,7000000000,5373658,82269,326903983365814771,904,,687,241,244,0.98770491803278693,33,869,910,0.954945054945055,50,50,324517,244,0xb21ac5eb2a7d5168c9b239cbd654ca3c11e40fd1cf43e5898a7a30778345b847,187,16,7,25,75,455977,22,5,2,3,1,3
0xf8ef2eb810bd7bc57667db6381664f06504b5af346b3eeba173115956af93f29,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-18 10:18:33.000000 UTC,99433,3259430846,9948780,89359,0,815,,734,195,197,0.98984771573604058,32,782,821,0.95249695493300857,49,49,314966,197,0xf8ef2eb810bd7bc57667db6381664f06504b5af346b3eeba173115956af93f29,147,15,7,24,74,446426,22,5,2,3,1,3
0x7b8f291e276497c8db6da87554b89570e85be5bb758eb4eb0bdcd5fc23677ebf,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-21 17:25:02.000000 UTC,99433,2000000000,7469357,89359,0,986,,634,294,297,0.98989898989899,35,950,993,0.95669687814702919,52,52,336385,297,0x7b8f291e276497c8db6da87554b89570e85be5bb758eb4eb0bdcd5fc23677ebf,224,18,7,26,77,467845,24,5,2,3,1,3
0x5e779525360728e493921872f7a3900297e067e71a36839af488567b4c5e48d2,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-02 14:36:02.000000 UTC,99433,6000000000,9777931,89359,0,1195,,493,430,434,0.99078341013824889,44,1155,1202,0.9608985024958403,62,62,400754,434,0x5e779525360728e493921872f7a3900297e067e71a36839af488567b4c5e48d2,303,26,7,27,87,532214,24,5,2,3,1,3
0xeebb8e5695fef84033d69043d04161fbd4a2b2a11503e47c44f1f3bd5aa8e556,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-12 13:46:06.000000 UTC,82657,120000000000,9766326,74343,2000000000000000000,723,,303,613,618,0.99190938511326865,54,724,732,0.98907103825136611,36,39,255553,618,0xeebb8e5695fef84033d69043d04161fbd4a2b2a11503e47c44f1f3bd5aa8e556,110,17,6,29,97,596945,51,5,1,3,1,2
0xa610170492d769acd62b26759f4d0dc016a089f2dc6f0765229c2637b5131cbd,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-16 20:53:58.000000 UTC,91514,2000000000,7745665,82269,243043683318323347,675,,817,112,114,0.98245614035087714,30,644,681,0.94566813509544789,47,47,304882,114,0xa610170492d769acd62b26759f4d0dc016a089f2dc6f0765229c2637b5131cbd,67,13,7,24,72,436342,22,5,2,3,1,3
0xd407767ab3b31dd49faa7a286e2fa444665809471b5f13a838b9620bdd40efda,1,0x3744fd83098a298a0406cabf1ee0ea622327661d,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-20 13:53:56.000000 UTC,108300,9100000000,8079988,97291,931965978612557781,1,,220,683,689,0.99129172714078373,62,3,3,1.0,1,0,65,689,0xd407767ab3b31dd49faa7a286e2fa444665809471b5f13a838b9620bdd40efda,1,1,7,37,105,648835,2,5,2,3,1,3
0x0f4e66869f40e0ce6bd448597dadb84359f625928ad5f6615030c2a18e2dd33e,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-21 12:14:38.000000 UTC,99433,1300000000,9905979,89359,0,958,,647,281,284,0.98943661971830987,35,922,965,0.95544041450777206,52,52,334961,284,0x0f4e66869f40e0ce6bd448597dadb84359f625928ad5f6615030c2a18e2dd33e,213,18,7,26,77,466421,24,5,2,3,1,3
0xf0f5baf476566e10a3d4181f6f569eb2e10b9d0f958bab6c20ff5896cabb2e0a,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-27 01:20:49.000000 UTC,82657,6010000000,8934645,74343,1000000000000000000,535,,565,358,361,0.99168975069252074,40,537,542,0.9907749077490775,23,25,161169,361,0xf0f5baf476566e10a3d4181f6f569eb2e10b9d0f958bab6c20ff5896cabb2e0a,50,6,6,27,83,502561,35,5,1,3,1,2
0x1036d91e911952234861f3cbe813c4206ffbc33c616d7ec9e144dc60dd28c04e,1,0x2e6cba446fe7bc7647f08be358a3ca414aa23c6c,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-04-07 05:58:49.000000 UTC,123326,2200000233,3048465,110744,0,78,,79,809,815,0.992638036809816,78,80,84,0.95238095238095233,23,512,3133357,815,0x1036d91e911952234861f3cbe813c4206ffbc33c616d7ec9e144dc60dd28c04e,2,2,7,40,123,763137,33,5,2,3,1,3
0xc0e924815420decdd0556b48aa00ea039992a9777921bb87e6d70164dfe4b366,1,0x17559a8138e72c6ef34512b11685dedc509badcf,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-12 16:36:32.000000 UTC,82670,194000000000,3958609,74355,11000000000000000000,6275,,287,629,634,0.99211356466876977,54,6257,6689,0.93541635521004629,223,227,1411211,634,0xc0e924815420decdd0556b48aa00ea039992a9777921bb87e6d70164dfe4b366,3,1,6,31,97,597719,452,5,1,3,1,2
0xf821db4d07bee26b9cbb19244f41374ee42277519f08b14cf4dce68baf9bc1b4,1,0x17559a8138e72c6ef34512b11685dedc509badcf,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-12 16:40:21.000000 UTC,82657,185000000000,8809075,74343,7000000000000000000,6278,,282,633,639,0.99061032863849763,54,6260,6692,0.935445307830245,223,227,1411230,639,0xf821db4d07bee26b9cbb19244f41374ee42277519f08b14cf4dce68baf9bc1b4,6,1,6,31,97,597738,452,5,1,3,1,2
0xdb5abaad1aa293a12d610a07158398088021926070beeeea86442b222588744f,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-27 08:33:31.000000 UTC,99420,2510000000,4612567,89347,0,550,,556,367,370,0.99189189189189186,40,551,557,0.98922800718132853,23,25,163148,370,0xdb5abaad1aa293a12d610a07158398088021926070beeeea86442b222588744f,57,6,7,27,83,504540,35,5,2,3,1,3
0x6698dcfa16b6d0400912c6d06178bb0e3c30f2d073264d0706d93037a9613b23,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-06 13:02:23.000000 UTC,99433,3000000000,3755764,89359,0,1278,,450,471,476,0.98949579831932777,48,1236,1285,0.96186770428015567,66,66,426266,476,0x6698dcfa16b6d0400912c6d06178bb0e3c30f2d073264d0706d93037a9613b23,335,30,7,29,91,557726,24,5,2,3,1,3
0x63e8ccaa6184f5a625c6fde2ccbe632ac854e37a41d9b3257d0a2e463b9fbeae,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-06 07:01:21.000000 UTC,99420,1014000000,7623345,89347,0,646,,459,462,467,0.98929336188436834,48,649,655,0.99083969465648858,31,33,214702,467,0x63e8ccaa6184f5a625c6fde2ccbe632ac854e37a41d9b3257d0a2e463b9fbeae,72,12,7,29,91,556094,48,5,2,3,1,3
0x8d730f61fe9a3340aa65ed838befbd441355c1f4fa5f2bb330cc744653683554,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-16 08:12:44.000000 UTC,91514,41000000000,9881790,82269,979496124239997596,1556,,241,666,672,0.9910714285714286,58,1505,1565,0.96166134185303509,76,76,489868,672,0x8d730f61fe9a3340aa65ed838befbd441355c1f4fa5f2bb330cc744653683554,447,39,7,33,101,621328,29,5,2,3,1,3
0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-19 14:33:30.000000 UTC,2302583,25080000000,3226030,638871,0,334,,227,50006,54560,0.9165322580645161,174,320,337,0.94955489614243327,14,15,99593,10,0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,87,10,124,4592,173,1064220,30,51,24,6,2,6
0xb6baaf1f119124b184a06449d237589bee57cc6b9b9eb70a5c68bedb4078bcb4,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-16 21:02:43.000000 UTC,91514,2000000000,1570412,82269,262271548945654814,678,,814,115,117,0.98290598290598286,30,647,684,0.945906432748538,47,47,304921,117,0xb6baaf1f119124b184a06449d237589bee57cc6b9b9eb70a5c68bedb4078bcb4,70,13,7,24,72,436381,22,5,2,3,1,3
0x9e758d7bfe51a4a607705a1489852cbc5c36497998527fb78fcac7cacffe4efe,1,0x649e6aff628460411524717d671048d6f36bb0b9,0xf53bbfbff01c50f2d42d542b09637dca97935ff7,2020-02-14 23:07:30.000000 UTC,147668,2000000000,9932714,132531,0,665,,878,124,128,0.96875,72,650,693,0.937950937950938,56,145,888278,1,0x9e758d7bfe51a4a607705a1489852cbc5c36497998527fb78fcac7cacffe4efe,5,2,11,74,151,922960,198,8,3,5,1,4
0x4990e475dbd6b007996321a04116591eefe91c51e81c68e40d1b009b9f805814,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-25 21:31:24.000000 UTC,91514,2000000000,7419945,82269,355485810303982040,1021,,607,317,320,0.990625,38,984,1028,0.95719844357976658,56,56,363493,320,0x4990e475dbd6b007996321a04116591eefe91c51e81c68e40d1b009b9f805814,235,20,7,27,81,494953,24,5,2,3,1,3
0xc50a07fd39fdd5c33c2b13abf621bcc30d779ad18983c785ec1505097d72cf64,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-11 14:52:31.000000 UTC,91514,6000000000,7879315,82269,504018764585855463,1417,,362,559,564,0.99113475177304966,53,1369,1425,0.960701754385965,71,71,459309,564,0xc50a07fd39fdd5c33c2b13abf621bcc30d779ad18983c785ec1505097d72cf64,394,35,7,29,96,590769,24,5,2,3,1,3
0x5b9a90dacec7effa8ae2845bb3841bbad58979d774579687b146fa125fb8bd95,1,0x59a1eaa24a7ee3c7ec51fecc5639d203d804602b,0xe9a5bbe41dc63d555e06746b047d624e3343ea52,2020-01-08 01:55:15.000000 UTC,140716,6000000000,4853866,126310,0,23,,932,1640,1728,0.94907407407407407,30,29,31,0.93548387096774188,7,13,69420,2,0x5b9a90dacec7effa8ae2845bb3841bbad58979d774579687b146fa125fb8bd95,2,1,11,178,29,153470,14,8,3,5,1,4
0xab047856ca44273615343d9ae0ef9a4e87e18e241ec18de7901976656c3df7af,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-17 07:07:12.000000 UTC,91514,5000000000,5835716,82269,460165338630206418,703,,790,139,141,0.98581560283687941,31,672,709,0.94781382228490829,48,48,307635,141,0xab047856ca44273615343d9ae0ef9a4e87e18e241ec18de7901976656c3df7af,94,14,7,24,73,439095,22,5,2,3,1,3
0x4cfbc061215b433c09c80240c6d6c272f377533e9359cff08081c9916a5b669a,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-17 07:16:27.000000 UTC,91514,2000000000,6596553,82269,480576270615470422,705,,788,141,143,0.986013986013986,31,674,711,0.9479606188466948,48,48,307680,143,0x4cfbc061215b433c09c80240c6d6c272f377533e9359cff08081c9916a5b669a,96,14,7,24,73,439140,22,5,2,3,1,3
0x37b57215e42fb68d95d64a5d038f659bc68651b1939d4865fbc529de3ec3a148,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-26 20:58:45.000000 UTC,99433,1000000000,6658197,89359,0,1058,,576,347,350,0.99142857142857144,39,1020,1065,0.95774647887323938,57,57,369894,350,0x37b57215e42fb68d95d64a5d038f659bc68651b1939d4865fbc529de3ec3a148,244,21,7,27,82,501354,24,5,2,3,1,3
