transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x8e4a62dda8aa1a1d87ebb5e1d57e830a72a64bd73625e5739264954cb829fee5,1,0x0d766e853d6ae361671f664c66d167357997d7d7,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 12:03:57.000000 UTC,150000,21000000000,110778,47778,0,0,,923,62661,109254,0.57353506507770879,48,2,2,1.0,1,69,0x8e4a62dda8aa1a1d87ebb5e1d57e830a72a64bd73625e5739264954cb829fee5,1,1,1,32061,47,285531,1,0,0,2,,,1,0
0xfd73d90f5be22e5e22c1817d8dcad9b3a49b36620072ccb8b4ea03032dc501a2,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 12:03:38.000000 UTC,250000,20000000000,208340,80440,0,12473,,924,6306,9616,0.65578202995008317,20,7311,12479,0.58586425194326464,21,3,0xfd73d90f5be22e5e22c1817d8dcad9b3a49b36620072ccb8b4ea03032dc501a2,9616,20,2,1,19,113992,3,20,118527,3,0,1,1,1
0xb6cc4a02263ba08ff90a29010bd756e0c4281b0eecbcb5cfeb07b3f18cf42f82,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x4122de50c8266c3e47c2c3e48142c376573e0748,2016-06-16 12:01:34.000000 UTC,500000,20000000000,293554,36523,0,5730,,926,3,3,1.0,1,3885,5732,0.6777739009071877,20,2,0xb6cc4a02263ba08ff90a29010bd756e0c4281b0eecbcb5cfeb07b3f18cf42f82,3,1,2,1,0,540,1236,19,115222,3,0,1,1,1
0x05bc47941240bdf01d5002418153ae255ea939ec47a758f5440a71e1c05a095f,1,0x1633192b8978d4bddd95890011883de86f9fc033,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 12:01:34.000000 UTC,91216,20000000000,108608,45608,0,0,,925,62660,109253,0.57353116161569939,48,2,2,1.0,1,68,0x05bc47941240bdf01d5002418153ae255ea939ec47a758f5440a71e1c05a095f,1,1,1,32060,47,285520,1,0,0,2,,,1,0
0xfa6080472d9e94f41a4e822d316e34c620b76f479df460d6ebcf33586004cd00,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 12:01:11.000000 UTC,54218,20000000000,1254404,54218,0,18416,,928,62659,109252,0.57352725808223193,48,6119,18421,0.33217523478638511,21,67,0xfa6080472d9e94f41a4e822d316e34c620b76f479df460d6ebcf33586004cd00,9104,20,1,32059,47,285517,8750,19,116856,2,,,1,0
0x06bc217e027132f66166ee80686aef9f2e2565095d8c96c60dbd01595c6266c0,1,0xa8e54556ce7110b6dd8080b5371cb8f7a52da446,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 12:01:11.000000 UTC,150000,21000000000,675000,150000,0,8,,927,62659,109252,0.57352725808223193,48,12,13,0.92307692307692313,2,66,0x06bc217e027132f66166ee80686aef9f2e2565095d8c96c60dbd01595c6266c0,6,2,1,32059,47,285517,4,19,115732,2,,,1,0
0x8f0359a425335db7892d2cb9e55c5c5118d8c4f591cdb8e596868e5884c0e9ea,1,0x2922934c894717b16892916a70adadd17ae42839,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:59:46.000000 UTC,162778,20000000000,338958,47778,0,9,,929,62658,109250,0.57352860411899309,48,12,12,1.0,2,65,0x8f0359a425335db7892d2cb9e55c5c5118d8c4f591cdb8e596868e5884c0e9ea,9,2,1,32059,47,285515,2,35,211174,2,,,1,0
0x465f16c2b3b558285d7992a99e77f4a3905042821ee084de4dd5fb184a4086ef,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:57:45.000000 UTC,150000,20000000000,603711,47842,0,5727,,930,62657,109249,0.5735247004549241,48,3882,5729,0.67760516669575843,20,64,0x465f16c2b3b558285d7992a99e77f4a3905042821ee084de4dd5fb184a4086ef,953,20,1,32059,47,285509,1236,19,115211,2,,,1,0
0x65e6fd6f611215c1fef2e3f444ebe27955106f946b0c93f4a2ec1d099820aa7a,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:56:50.000000 UTC,54154,20000000000,335054,39154,0,18415,,931,62656,109248,0.57352079671939071,48,6118,18420,0.33213897937024972,21,63,0x65e6fd6f611215c1fef2e3f444ebe27955106f946b0c93f4a2ec1d099820aa7a,9103,20,1,32059,47,285508,8750,19,116847,2,,,1,0
0xce5d5303a005adeeee62c123f79ba9d81ad3d8d57c376a6a6e2f604c646764fa,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0xd558929a578acd43693e19990f9ca219f1c65b99,2016-06-16 11:55:57.000000 UTC,500000,20000000000,215082,25762,0,5726,,932,13,13,1.0,3,3881,5728,0.67754888268156421,20,1,0xce5d5303a005adeeee62c123f79ba9d81ad3d8d57c376a6a6e2f604c646764fa,13,3,2,1,2,11487,1236,19,115207,3,0,1,1,1
0x6dda4365753dca7512ac1b0235d2f633be447fd1cea08a06e19e4428e74b03a2,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 11:55:17.000000 UTC,250000,20000000000,176456,50376,0,12472,,933,6305,9615,0.655746229849194,20,7310,12478,0.58583106267029972,21,2,0x6dda4365753dca7512ac1b0235d2f633be447fd1cea08a06e19e4428e74b03a2,9615,20,2,1,19,113966,3,20,118501,3,0,1,1,1
0xc6193ba10485174badac9bb739f574f140612db8aabe4d3932f6f3c7eb2c041d,1,0x7781b5e4e95a9cd2eb0feff473760b7f85064b63,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:54:52.000000 UTC,150000,21000000000,98778,77778,0,17,,934,62655,109247,0.57351689291239116,48,21,21,1.0,9,62,0xc6193ba10485174badac9bb739f574f140612db8aabe4d3932f6f3c7eb2c041d,16,5,1,32059,47,285503,3,58,349252,2,,,1,0
0x10dcd7c273f93eca213b2269346667233d3a53ae76baee52c5bf73295035ca71,1,0x1fca231d1ac54ab061b6eb2a483007d6a3a7ee2c,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:53:53.000000 UTC,121000,20000000000,836799,47778,0,13,,935,62654,109246,0.57351298903392345,48,39,39,1.0,32,60,0x10dcd7c273f93eca213b2269346667233d3a53ae76baee52c5bf73295035ca71,12,10,1,32059,47,285498,2,72,435460,2,,,1,0
0xbe75a9474564bf5550f56774b0032b350f6ff001af6fdf9eb8819a532c1d1390,1,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:53:53.000000 UTC,90000,20000000000,602778,77778,0,4836,,936,62654,109246,0.57351298903392345,48,4713,4971,0.94809897404948706,127,61,0xbe75a9474564bf5550f56774b0032b350f6ff001af6fdf9eb8819a532c1d1390,194,27,1,32059,47,285498,1218,126,725479,2,,,1,0
0x9c94688b016d08099e8c16bb93421e2b0ca7f81b6f15e3e6722534976e23fc78,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:53:07.000000 UTC,54090,20000000000,69045,27045,0,18414,,937,62653,109244,0.57351433488338033,48,6117,18419,0.33210272001737334,21,59,0x9c94688b016d08099e8c16bb93421e2b0ca7f81b6f15e3e6722534976e23fc78,9102,20,1,32059,47,285497,8750,19,116836,2,,,1,0
0x3b31c6391895ee3ff4a84fc00814b6731ea3cec2c38a0cf8fc476edd02e5959e,1,0x5b19f030df5a282cc2e8e3e42505436f984df74f,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:51:12.000000 UTC,91216,20000000000,213608,45608,0,0,,938,62652,109243,0.57351043087428943,48,2,2,1.0,1,58,0x3b31c6391895ee3ff4a84fc00814b6731ea3cec2c38a0cf8fc476edd02e5959e,1,1,1,32059,47,285489,1,0,0,2,,,1,0
0xb986528fa7b159309ff3203ef9a55f6ca3593f99f11547df6d56eb56ce55b249,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x8f5cfa81fa4ae96dbeaa9b6982afc15c8b35f7ff,2016-06-16 11:50:46.000000 UTC,500000,20000000000,172794,25794,0,5723,,939,1,1,1.0,1,3878,5725,0.67737991266375541,20,1,0xb986528fa7b159309ff3203ef9a55f6ca3593f99f11547df6d56eb56ce55b249,1,1,2,1,0,0,1236,19,115188,3,0,1,1,1
0x02e247538bfff2c84d2609b816e14d7f90db5087aed6161d8af03feefad7eec9,1,0x84adce518d342d5db54a6b0a4a1ce903c4566650,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:49:53.000000 UTC,177842,20000000000,1559842,47842,0,3,,940,62651,109242,0.573506526793724,48,23,23,1.0,18,57,0x02e247538bfff2c84d2609b816e14d7f90db5087aed6161d8af03feefad7eec9,1,1,1,32058,47,285483,3,27,162383,2,,,1,0
0xa3e5fd91936542bb6ff785d25300a2933a5f3ec81b59c5a3ad76c8330334e795,1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:49:11.000000 UTC,227714,20000000000,452957,77714,0,30719,,941,62650,109241,0.57350262264168217,48,152392,225322,0.67632987457949068,311,56,0xa3e5fd91936542bb6ff785d25300a2933a5f3ec81b59c5a3ad76c8330334e795,9884,48,1,32057,47,285481,10282,311,1652654,2,,,1,0
0x23e013b931b6682cc185004f5f5455e5818f2b2b0f248f898d988022e13d7ac9,1,0x1072c26a1a21dfff187f0174f179c4684d559fff,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:47:04.000000 UTC,150000,21000000000,77650,77650,0,5,,942,62649,109240,0.5734987184181618,48,7,7,1.0,6,55,0x23e013b931b6682cc185004f5f5455e5818f2b2b0f248f898d988022e13d7ac9,1,1,1,32057,47,285474,5,63,382250,2,,,1,0
0xba875677bc94f1be306351ca2e9d2869117087df020c0ff654aa483dcba7e1e6,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:45:35.000000 UTC,77714,20000000000,98714,77714,0,18412,,943,62648,109239,0.57349481412316117,48,6115,18417,0.33203018949883262,21,54,0xba875677bc94f1be306351ca2e9d2869117087df020c0ff654aa483dcba7e1e6,9101,20,1,32056,47,285468,8749,19,116807,2,,,1,0
0x802c9008dca1b9deb844614df249706b57705b969512c19bb4bdf65d70b6f0f9,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:45:29.000000 UTC,54154,20000000000,124414,39154,0,18411,,944,62647,109238,0.573490909756678,48,6114,18416,0.3319939183318853,21,53,0x802c9008dca1b9deb844614df249706b57705b969512c19bb4bdf65d70b6f0f9,9100,20,1,32056,47,285467,8749,19,116806,2,,,1,0
0xe2f14d37885a0a35f2bf8e0cf9a018fc07fdf82ae4782fd50ce177677e7de8f1,1,0x7713fef2af00e9cc657f1ebe66bf1b560fae2981,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:44:51.000000 UTC,162778,26620000000,62778,62778,0,4,,945,62646,109237,0.57348700531871066,48,10,10,1.0,2,52,0xe2f14d37885a0a35f2bf8e0cf9a018fc07fdf82ae4782fd50ce177677e7de8f1,4,2,1,32056,47,285464,2,35,213825,2,,,1,0
0x900dc3205cd3e367c5f5367e34194c81623ea36af52cf91eeba74426af37f266,1,0xea982050e0777f55c745aecaa048b8874ca2a81b,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:40:42.000000 UTC,153278,20000000000,80278,38278,0,13,,946,62645,109236,0.573483100809257,48,25,25,1.0,10,51,0x900dc3205cd3e367c5f5367e34194c81623ea36af52cf91eeba74426af37f266,13,9,1,32056,47,285452,1,47,281498,2,,,1,0
0x3d16e08e028bc3e90285b25c8601d6d5f15ff8f4c83e9cbfefdae37257dc1f29,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 11:37:43.000000 UTC,250000,20000000000,57418,36418,0,12451,,947,6294,9594,0.65603502188868046,20,7299,12457,0.58593561852773546,21,1,0x3d16e08e028bc3e90285b25c8601d6d5f15ff8f4c83e9cbfefdae37257dc1f29,9594,20,4,1,19,113904,3,20,118439,4,1,2,1,1
0x8a44431e6de86cbc06bb8ba7fd2d414614504ea3063cad10bdfa3620b462d701,1,0x4f7f2958717ce9e4a2b2c271c39b462d07fe4f05,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 11:37:13.000000 UTC,162778,32210000000,62778,62778,0,24,,948,62644,109235,0.57347919622831511,48,38,38,1.0,16,50,0x8a44431e6de86cbc06bb8ba7fd2d414614504ea3063cad10bdfa3620b462d701,13,8,1,32056,47,285440,8,40,240538,2,,,1,0
