transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x484b3d54119b2107f1b19d75e688190c1288fe5e8e0d0dd3eb9ce74865e0f613,1,0x65bd72cb15f99d1a065c72c2cea424e4f6c630e3,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-24 16:39:18.000000 UTC,152081,189800102595,29841000,142295,0,490,2,533,243,263,0.92395437262357416,45,526,558,0.942652329749104,196,1526,9385008,212,0x484b3d54119b2107f1b19d75e688190c1288fe5e8e0d0dd3eb9ce74865e0f613,1,1,21,140,61,387483,72,7,12,2,1,4
0xf3d1e780cc46c862775eaebd37aca2051e7b939a47be16c413be683acbe97c12,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-05 01:51:25.000000 UTC,1000000,102170835769,8523968,385376,0,53,2,663,171,191,0.89528795811518325,28,60,60,1.0,21,117,750008,140,0xf3d1e780cc46c862775eaebd37aca2051e7b939a47be16c413be683acbe97c12,4,2,24,103,42,262959,8,9,12,2,1,6
0x81aa7a050bbf787600446c815c52e959be7bbdded99756bdd2134290ddfe9320,1,0xd76f585b6b94202430875ae748ff8c038dc64111,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-04 20:22:48.000000 UTC,152093,57067817874,18146536,142307,0,147,2,175,462,485,0.95257731958762881,111,147,150,0.98,48,156,999796,434,0x81aa7a050bbf787600446c815c52e959be7bbdded99756bdd2134290ddfe9320,7,4,21,240,161,1031838,47,7,12,2,1,4
0xc14a81a46979f05f01fb20f89611d2b59de4f1cb51f2d82789d4487930ce63c8,1,0xbf1537ddffbcdcf0369be45337e323e45f7c8165,0x86eaf259dbfa7a0013e52b503b010dff81a4cfa1,2021-10-01 04:36:36.000000 UTC,561603,63093286224,22982051,515565,0,90,2,981,462,476,0.97058823529411764,8,104,105,0.99047619047619051,40,405,2622951,18,0xc14a81a46979f05f01fb20f89611d2b59de4f1cb51f2d82789d4487930ce63c8,1,1,29,398,7,40067,36,9,12,3,2,4
0x6d250346e98066039b1fcdd0f0d73ee4f41cdfccd43d65cec7b64be5998cf957,1,0xb86ec3c60485027039bd467530eacd2e0f38c3aa,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-01 04:00:11.000000 UTC,152081,68926349465,728731,147095,0,266,2,186,458,481,0.95218295218295224,109,217,280,0.775,55,293,1877079,430,0x6d250346e98066039b1fcdd0f0d73ee4f41cdfccd43d65cec7b64be5998cf957,1,1,21,239,158,1008022,50,7,12,2,1,4
0xf5f5a5914b488ccc8db18c96ded32cc6d93a79f5d003a10d64c081bdfaa53962,1,0xbd389246cc4cb531f2877a4c39282c4d541e71b0,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-10-25 03:50:01.000000 UTC,600000,89000000000,1797097,39930,0,1017,,720,133,153,0.869281045751634,21,1045,1075,0.97209302325581393,245,601,3886386,102,0xf5f5a5914b488ccc8db18c96ded32cc6d93a79f5d003a10d64c081bdfaa53962,2,1,3,77,31,193479,200,4,1,1,1,2
0x3d0fd22916d976d1fd62c4fb71c60105641a3ed470f36694c0f691322964af5a,1,0xa2998dec7eb7e6a3894d00c2277e24a11ed865de,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-05 02:19:27.000000 UTC,600000,144977360414,13845371,142295,0,665,2,656,178,198,0.898989898989899,28,680,704,0.96590909090909094,170,411,2653653,147,0x3d0fd22916d976d1fd62c4fb71c60105641a3ed470f36694c0f691322964af5a,1,1,21,104,42,263077,150,7,12,2,1,4
0xfe0dcc6f99bedbe4b1ac479a17a1fb59ae7371f76282e266a15fd0695342640b,1,0x9aed86d88ccada8ff483cdc40df2ceda045eec05,0x86eaf259dbfa7a0013e52b503b010dff81a4cfa1,2021-10-02 20:06:54.000000 UTC,561603,100223895184,18603697,520365,0,13,2,948,492,507,0.97041420118343191,9,23,23,1.0,14,39,251271,48,0xfe0dcc6f99bedbe4b1ac479a17a1fb59ae7371f76282e266a15fd0695342640b,1,1,29,421,8,50650,9,9,12,3,2,4
0xfffde7f11f57aa9bb59c378081ef9d36a648d4731dcc4197a79677b97bff139d,1,0xa2998dec7eb7e6a3894d00c2277e24a11ed865de,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-27 07:46:46.000000 UTC,169181,48918800212,21431471,159395,0,695,2,322,383,406,0.94334975369458129,69,713,738,0.96612466124661245,184,463,2985775,355,0xfffde7f11f57aa9bb59c378081ef9d36a648d4731dcc4197a79677b97bff139d,2,2,21,208,94,595199,158,7,12,2,1,4
0x6140da9d1b57f2dc092ee7c986385643c43db203aedeb0d40f3062b6fb417dad,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-05 02:20:57.000000 UTC,355514,96932316675,21986182,352714,0,126,2,470,281,301,0.93355481727574752,55,131,133,0.98496240601503759,32,147,939631,250,0x6140da9d1b57f2dc092ee7c986385643c43db203aedeb0d40f3062b6fb417dad,27,3,20,164,72,452582,11,8,8,2,1,5
