transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x37c56b2294365e12a472f0e155bc984908a23448d409234a55d1570d3fcd935a,1,0x58ba5a24fa8833477339072f1221e03bb3b29130,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-20 21:27:31.000000 UTC,112,114,0.9824561403508772,29,68,70,0.9714285714285714,24,114,4,4,3,77,84,539974,21,237,1533998,4,0,2,1,2,79725,65138705355,23531346,52808,0,64,-1.0
0x36d4af1c1ea772473eb47e1f2f53e495b5354cca6bb586787ba87653c54c94ad,1,0xedb38d9fd72e47f0f57ae1d02f2bbe3a79330f3e,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-26 07:19:48.000000 UTC,137,139,0.9856115107913668,35,5,5,1.0,4,139,3,3,5,89,90,574611,2,4,25211,6,1,3,1,3,147256,77043904710,4508534,97121,0,3,2.0
0xb1d7a25969ebfb7dd74e29ba341ebc211c1753ea0a5a9f6dfe55cc7f09349d52,1,0x0f74fa649a61e3c21073fb0e7f773e181538c27c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-19 05:35:06.000000 UTC,371,374,0.9919786096256684,113,152,158,0.9620253164556962,40,374,8,4,5,182,175,1117141,39,88,558545,6,1,3,1,3,147274,89966969878,4632475,97133,0,144,2.0
0x58469ca19f16c613a29b18be4b1748fe153ab9e02cea552cf2f036dd036e8f00,1,0xc00ceb4cef978879475d7e1060ebefa544524d07,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-21 19:06:16.000000 UTC,119,121,0.9834710743801652,30,15,15,1.0,6,121,1,1,5,80,85,545800,9,127,816643,6,1,3,1,3,173313,102560995093,4060311,114221,0,10,2.0
0x3a71356d37e0bc130c426142c44a8dbf618637dc76d71a0b3ef343924d1312dd,1,0x324c4740e20e4e24b01bc28f53afd06bab6a715a,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-07 22:18:25.000000 UTC,536,543,0.9871086556169428,132,9,10,0.9,3,542,3,1,4,210,194,1244648,3,78,506605,5,0,3,1,2,408211,109289753069,6139821,53585,0,5,2.0
0x97037dfff2bf1346ea81e034efda8f9c8ae4fcf8eeaaf84f1579cc65372f3f34,1,0xaddd5517468a007ae41ab9615a5a9f08c80aa779,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-11-18 05:48:09.000000 UTC,217,219,0.9908675799086758,58,6,6,1.0,3,219,2,2,5,116,113,720555,3,41,261652,6,1,3,1,3,147256,142813163028,7260944,97121,0,3,2.0
0x5a9d1adacf7db6344c84902ff78ab5c7b8d029379e483e329d1470b7eb553994,1,0xf56f8ee4ec1eb4276d964d13b7bad75955b1d56c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 15:41:29.000000 UTC,688,698,0.98567335243553,154,86,95,0.9052631578947368,29,698,1,1,9,259,216,1385020,21,361,2326478,8,4,3,1,4,408193,45906561149,20841088,243664,0,80,2.0
0x88404afe265c6b7c3764a33239ec327deff31e199187833ab687bbdd8fd55915,1,0x81d5c3f55e1da4739c3f71a07d87de4b685267a3,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-11-09 14:04:09.000000 UTC,188,190,0.9894736842105262,49,4,4,1.0,2,190,2,2,5,105,104,665584,2,8,51929,6,1,3,1,3,147274,182629675499,21086852,97133,0,2,-1.0
0xedc9d779952a22f203f7bc3b9364efa0ff25cff8104c993273935fce4f7f7584,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:45:20.000000 UTC,669,679,0.9852724594992636,151,15,15,1.0,2,679,12,2,5,255,213,1363167,2,13,83886,6,1,3,1,3,200000,30675517324,11178151,132582,0,12,2.0
0xacefc2141b52128ff9192da2ad6532f930d526ff09b28e3005ee12a73078296e,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 06:44:29.000000 UTC,668,678,0.9852507374631267,151,14,14,1.0,2,678,11,2,5,255,213,1363164,2,13,83883,6,1,3,1,3,200000,33447903198,7864545,130582,0,11,2.0
0x92e6faf7aea1aca24d6de5ca8de7e85773798081e865c77a66574f325e2d9589,1,0x817cd0f4052f098899936a61fa1a1fbb358f567e,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-11-30 17:55:36.000000 UTC,257,260,0.9884615384615384,70,376,962,0.3908523908523908,47,260,2,2,2,138,125,799221,35,1390,8655437,3,0,1,1,1,54969,128182813520,22474711,54608,0,942,2.0
0xf5f34f1f7d06b5e9f8f19d56a082cf9fa7a63addd91c2d35aff0dfd11816c3cc,1,0x58ba5a24fa8833477339072f1221e03bb3b29130,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-21 08:03:40.000000 UTC,117,119,0.9831932773109244,30,73,75,0.9733333333333332,25,119,6,5,5,78,85,542839,21,238,1536863,6,1,3,1,3,147256,58521189590,17942844,97121,0,68,-1.0
