transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xdfa1ec9a8b4201a34a399bbd27760cd4d4a2d88fba3f17603792bf429ebe6f6b,1,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:33:13.000000 UTC,250000,41870143267,5089733,63197,0,6150070,2.0,954,6098422,126505635,0.0482067221748659,1506,1366943,6632967,0.2060831902224148,311,101,0xdfa1ec9a8b4201a34a399bbd27760cd4d4a2d88fba3f17603792bf429ebe6f6b,1132620,297,1,18210030,1556,9682170,3085184,309,1986137,2,,,1,0
0x349a9fe6ae9e4abba55f318d21b5ec4fef3b405ca7569ea505e7999d390bef91,1,0x993f778e4868f1331fc01dcf58d0c575b75de9cd,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:35:48.000000 UTC,84000,42363786673,11182783,63209,0,1970,2.0,844,6098433,126505725,0.0482067748317319,1506,1804,2002,0.9010989010989012,246,190,0x349a9fe6ae9e4abba55f318d21b5ec4fef3b405ca7569ea505e7999d390bef91,1587,237,1,18210045,1556,9682182,246,339,2182793,2,,,1,0
0x8c41b05de38c967d71fa546c728f357ff75827c9e4a920d321c8827e56aa1578,3,0x6d335563941390daf332e9dbe3fbac4991758e69,0xcbce172d7af2616804ab5b2494102daec47b2635,2022-03-03 23:30:21.000000 UTC,104332,56493056696,25111861,84040,0,15,2.0,1054,2629,2646,0.993575207860922,125,19,19,1.0,6,1,0x8c41b05de38c967d71fa546c728f357ff75827c9e4a920d321c8827e56aa1578,1,1,7,1182,125,805994,11,86,558017,6,3.0,3.0,1,3
0xaf22943a0c429d5af3341b7a3c69b15ddccec6ebb8a80b860548b15d704667be,3,0xe41a8a37de79005ec8e2126100dc599f4cce1b11,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2022-03-03 23:31:10.000000 UTC,252685,58743534238,13657717,153588,0,4,2.0,1014,74900,76866,0.9744230218822366,539,9,9,1.0,3,1,0xaf22943a0c429d5af3341b7a3c69b15ddccec6ebb8a80b860548b15d704667be,1,1,6,21650,543,3506861,3,7,50538,5,3.0,2.0,1,2
0x2a8aae213cd6ba2850be0874d851c849bcb2c947512aeda71054290e9b6c2b3c,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:35:48.000000 UTC,250000,42363786673,15313165,46109,0,6581477,2.0,842,6098433,126505725,0.0482067748317319,1506,1389695,7078870,0.1963159374306916,311,191,0x2a8aae213cd6ba2850be0874d851c849bcb2c947512aeda71054290e9b6c2b3c,1242285,310,1,18210045,1556,9682182,3080577,309,1988111,2,,,1,0
0x69ab8f6bb7ae506224120b56d55fdafeef452e4bce804f8693c517150c408964,1,0xae60808105065c51edd6930a93a9c92b66904963,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:38:38.000000 UTC,50719,49337699147,3334824,41309,0,27,2.0,752,6098442,126505795,0.0482068193002541,1506,29,29,1.0,17,265,0x69ab8f6bb7ae506224120b56d55fdafeef452e4bce804f8693c517150c408964,28,17,1,18210060,1556,9682194,1,36,235175,2,,,1,0
0xdc938075e3757ee261e494fe8107232cb98a66aa272475766d770b31e771a2f1,1,0xa09c6e89fae418df9f45847567d8816db5b250a2,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:34:08.000000 UTC,60000,78120818160,1848297,41309,0,6,,903,6098428,126505679,0.0482067528367639,1506,18,18,1.0,7,141,0xdc938075e3757ee261e494fe8107232cb98a66aa272475766d770b31e771a2f1,7,7,1,18210040,1556,9682176,1,36,234570,2,,,1,0
0x2bc6c85d3b680ead541bb7e276d048bd979faff8391ec41f460559409d7bd130,1,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:34:42.000000 UTC,73330,47384603272,4931467,46109,0,3349286,2.0,877,6098430,126505699,0.0482067610250507,1506,1540811,3643868,0.4228503886529369,1042,169,0x2bc6c85d3b680ead541bb7e276d048bd979faff8391ec41f460559409d7bd130,1098983,972,1,18210043,1556,9682178,247856,1081,6924306,2,,,1,0
0x81df49d30963bbebad0ecd091875706ce612bea16e70f3763820175fb3678947,1,0x361a58532a16a660e6312b50e9066b6828531081,0xf6d63d48362fd3ee18a9c1ab054017f291f6aafd,2022-03-03 23:39:57.000000 UTC,105396,38233371253,26145322,104993,0,427,2.0,722,21473,26805,0.8010818877075172,198,489,512,0.955078125,81,1,0x81df49d30963bbebad0ecd091875706ce612bea16e70f3763820175fb3678947,21,21,6,2925,351,2261556,40,322,2073551,5,2.0,2.0,1,2
0x2e436e47fa8f5bd390f0b8563847e9729e7730b36ac30eaab3fea9bfc45311e7,1,0x8f95339f3bd1dccbf5f9fd6f6779bc09bd1c9e65,0xf88c63a6847710e9def5c190734e2f99cb7a51ed,2022-03-03 23:34:30.000000 UTC,250000,41897786995,4919521,56733,0,32144,,889,621,802,0.7743142144638404,201,17333,32162,0.538927927367701,678,1,0x2e436e47fa8f5bd390f0b8563847e9729e7730b36ac30eaab3fea9bfc45311e7,801,201,4,2,253,1626059,432,682,4406035,5,0.0,3.0,1,1
