transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x8ea0dff34a06ea345747d693895745754f26fc7c3f1efcb2cd0ba7fa10520758,5,0x8d62691bbf7ff78febda728dba04ae8b3cfb9675,0x881d40237659c251811cec9c364ef91dc08d300c,2023-02-03 21:05:47.000000 UTC,216841,33540309067,6965412,172279,0,296,2,3006869,6627631,0.45368684526944847,845,337,343,0.98250728862973757,72,22,0x8ea0dff34a06ea345747d693895745754f26fc7c3f1efcb2cd0ba7fa10520758,280,70,19,1602265,844,5509080,9,129,924319,10,4,5,1,2
0xd9dc4a19b3cce358bbe2e8abcbb20295340d4cbe6f2122056bfd99bd27fdabbe,3,0x1d4acb1cad9ed05bd4b0001e062c32e0cec555fa,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-02-03 22:47:59.000000 UTC,353197,25191604345,11026780,303658,0,361,2,1440944,1948990,0.73932857531336749,924,452,453,0.99779249448123619,159,5,0xd9dc4a19b3cce358bbe2e8abcbb20295340d4cbe6f2122056bfd99bd27fdabbe,22,11,33,347081,941,6135930,66,500,3280804,12,3,8,5,10
0x0f9f93ce24756d80a5b86485ab7bf19aba1881abe638e12f71b5abbc2341b61e,6,0x89c17a1081c50a1d8ad1778c574f55118050a429,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,2023-02-03 11:31:23.000000 UTC,475357,20022423734,9236903,351339,0,13,2,117717,753220,0.15628501632989034,67,15,15,1.0,5,9,0x0f9f93ce24756d80a5b86485ab7bf19aba1881abe638e12f71b5abbc2341b61e,10,4,30,169655,66,471302,4,6,44593,10,6,4,5,7
0xb199750232140112654ce5d38e64446321a57d02f6c52ac5d41c3aa84fcfaaf8,1,0xa25e5046a04534f131c449be495380a5cfbb0f2a,0x1111111254eeb25477b68fb85ed929f73a960582,2023-02-03 11:14:59.000000 UTC,157209,19612990068,1770740,124128,0,34,2,298576,470304,0.63485745390215687,89,44,45,0.97777777777777775,19,2,0xb199750232140112654ce5d38e64446321a57d02f6c52ac5d41c3aa84fcfaaf8,9,5,13,58683,91,653128,19,437,2878385,6,3,4,2,2
0xa50294c29a4bb98cd13901513f4ba53d05d48898396b96845a988a95a6823a02,6,0x8d62691bbf7ff78febda728dba04ae8b3cfb9675,0x881d40237659c251811cec9c364ef91dc08d300c,2023-02-03 23:46:47.000000 UTC,288216,26375616841,3090068,222588,0,306,2,3007440,6628748,0.45369653515264119,845,345,353,0.97733711048158645,72,35,0xa50294c29a4bb98cd13901513f4ba53d05d48898396b96845a988a95a6823a02,287,70,27,1602416,844,5509882,11,129,925121,10,4,6,1,2
0x248fb58993ee0c8803a29015829ecbc9353846cb523c870406e1b5a64a5f8e56,1,0xfbdbbe277bf31d0a4557ce8c6ab645e53b913a08,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2023-02-03 16:16:59.000000 UTC,249289,57531900000,4803142,198849,0,2140,0,2415818,17159582,0.14078536411900944,416,2157,2162,0.99768732654949122,253,8,0x248fb58993ee0c8803a29015829ecbc9353846cb523c870406e1b5a64a5f8e56,145,58,16,1673693,415,2737145,50,339,2248884,8,3,6,4,4
0x554d6bdee56a9f5d82bd2040a1af3beca351862675c4f0c025cc1a8ef8660fe6,100,0x3a098f56c1cae95b5b1b2e3e6e79b5821ed7386e,0x2f848984984d6c3c036174ce627703edaf780479,2023-02-03 10:50:59.000000 UTC,7630503,19364742871,6012217,4620465,0,117,2,14363,15259,0.9412805557375975,117,129,129,1.0,32,4,0x554d6bdee56a9f5d82bd2040a1af3beca351862675c4f0c025cc1a8ef8660fe6,75,25,502,905,116,828512,9,88,627518,106,99,5,1,101
0xfb448c45f7fd0c78ec79b875235700156eb670a8ac9385a434079fbeed45713f,100,0x2f594771685f9e03f1b7e70a0c43b6f6aca2c4ad,0xc3c7b049678d84081dfd0ba21a6c7fdcc31c226f,2023-02-03 12:17:59.000000 UTC,6477713,18000000000,27690575,5179717,0,509,0,3340,3741,0.892809409248864,101,518,4037,0.12831310378994304,70,1,0xfb448c45f7fd0c78ec79b875235700156eb670a8ac9385a434079fbeed45713f,311,43,501,24,103,737212,23,242,1635329,105,99,4,1,100
0x9566316865b340632253f77a86fea17b34d511474703b9665e1a621cc63f5e7c,6,0x0a14c559688e702d65928472396dc9ae2baa4072,0x881d40237659c251811cec9c364ef91dc08d300c,2023-02-03 21:21:23.000000 UTC,376892,59891338156,4966817,253856,0,19,2,3006929,6627740,0.45368843678237225,845,19,22,0.86363636363636365,13,23,0x9566316865b340632253f77a86fea17b34d511474703b9665e1a621cc63f5e7c,17,12,29,1602276,844,5509157,4,57,410083,12,5,9,1,2
0xab651896b2935d4dd526e441d157ed31eb7d96f0da2584ed67e89d82fffc1a31,1,0x49082c7f03fa21733a7cab47145f182e3d601242,0xc36442b4a4522e871399cd717abdd847ab11fe88,2023-02-03 16:57:47.000000 UTC,279633,33716676445,14930397,186423,0,174,2,878276,1088527,0.80684815351387706,641,179,182,0.98351648351648346,64,9,0xab651896b2935d4dd526e441d157ed31eb7d96f0da2584ed67e89d82fffc1a31,35,17,9,107761,640,4179858,22,1158,7503337,6,1,4,2,2
0x6b267ad13e12ae8ae492c3a1909ca5544c0fed1f0cf53d509eff81995d96f00b,6,0xfffe88587c8d65221eaaedb313f830702a5cf834,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,2023-02-03 15:47:47.000000 UTC,414634,31331192589,8133776,342046,0,78,2,118984,765488,0.15543548690508538,67,94,94,1.0,29,41,0x6b267ad13e12ae8ae492c3a1909ca5544c0fed1f0cf53d509eff81995d96f00b,16,9,24,171261,66,472581,14,436,2871000,10,3,4,4,5
0x71f1f233b6463648f6745797a02f83b35eb6bfaf990eafd7ab66780fda08b875,104,0x9be15f129bd2e612aa9f24c1fab14e5b19f49fb4,0x0a252663dbcc0b073063d6420a40319e438cfa59,2023-02-03 10:36:47.000000 UTC,20151000,19104155852,26640089,19236957,0,18,2,16392,17862,0.91770238495129319,36,33,33,1.0,13,1,0x71f1f233b6463648f6745797a02f83b35eb6bfaf990eafd7ab66780fda08b875,1,1,609,4921,35,252099,6,362,2397101,105,204,4,102,102
