transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x92372f28fc9cef67c66997687c801ab2ddada34833467050c4e9646f8fbe3c8c,1,0x4a92825835f2e64baa0c82c8b36f5603d098a86e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:59.000000 UTC,123170,37000000000,1369495,33513,0,8,,2925806,10655232,0.27458867155590794,992,9,9,1.0,8,313,0x92372f28fc9cef67c66997687c801ab2ddada34833467050c4e9646f8fbe3c8c,9,8,2,3745299,1035,6482133,1,48,316460,3,0,1,1,1
0x6b7fba570f368099452fa180120cd37bb361cc74693164bcdd05e1bade59be08,3,0xf42ed7184f3bdd07b0456952f67695683afd9044,0xd54f502e184b6b739d7d27a6410a67dc462d69c8,2021-06-03 23:59:59.000000 UTC,142531,28123456789,4190172,78079,0,4872,,27197,36208,0.751132346442775,105,4583,4877,0.93971703916342009,84,1,0x6b7fba570f368099452fa180120cd37bb361cc74693164bcdd05e1bade59be08,297,80,9,19033,112,730311,3,90,584176,6,2,4,1,3
0xae308997e98aea76e1395e3fb17358e51a32573835f477d90f4f04f39047d96b,1,0xbe86f784eb2a34a8e49f4c0bddb919e6ef099988,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:59.000000 UTC,73206,50000000000,726581,48537,0,724,,2925806,10655232,0.27458867155590794,992,726,750,0.968,93,312,0xae308997e98aea76e1395e3fb17358e51a32573835f477d90f4f04f39047d96b,29,21,2,3745299,1035,6482133,96,267,1739062,3,0,1,1,1
0x8e60c2fca059dbcff6221be3680693056276ea7c2a1f205af4fa84e6a6072f0d,1,0x8a64ab9031237087d03259b69b2789b05937507a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,60424,20000000000,10341863,59975,0,15,,2925805,10655230,0.27458862924591959,992,16,19,0.84210526315789469,7,309,0x8e60c2fca059dbcff6221be3680693056276ea7c2a1f205af4fa84e6a6072f0d,3,2,2,3745299,1035,6482132,9,14,90340,3,0,1,1,1
0xf754caced690c55420fc274815801bb6b3bd017a163a842772c74a93362c733a,1,0x9a2458258873089d047a614eb7fc2dd56af5e6af,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,99244,20000000000,13938116,50625,0,59,,2925805,10655230,0.27458862924591959,992,67,68,0.98529411764705888,26,310,0xf754caced690c55420fc274815801bb6b3bd017a163a842772c74a93362c733a,7,5,2,3745299,1035,6482132,20,136,886276,3,0,1,1,1
0xe4b1dab4be0547da0c981bb6d046bdbc802cbc6bad41de90f5f9832de43c339f,1,0xdb7d1c96fcffd3381e6a8b9f36acb7ac76ba1c42,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,99226,23000000000,982194,65613,0,89,,2925805,10655230,0.27458862924591959,992,106,107,0.99065420560747663,59,311,0xe4b1dab4be0547da0c981bb6d046bdbc802cbc6bad41de90f5f9832de43c339f,26,20,2,3745299,1035,6482132,17,163,1060410,3,0,1,1,1
0x3867a2c24ace2829cbf378df6fe7a13863370915def681e8e927d9472acb323f,3,0xe5896982dad7207cb5294ebf99bf5dfbff4de241,0xc36442b4a4522e871399cd717abdd847ab11fe88,2021-06-03 23:59:54.000000 UTC,316232,25000000000,3037104,183227,0,66,,54628,71734,0.76153567346028384,31,75,80,0.9375,17,4,0x3867a2c24ace2829cbf378df6fe7a13863370915def681e8e927d9472acb323f,6,4,15,14534,30,194865,28,110,714704,6,3,4,2,4
0x71f362b85562ea97e48d9ce04dd356256494d8d9c3175c173f8df8f34acc10d3,4,0xfd21a5bacf0b024d96ac044efc522f9ac99b5bc8,0xe592427a0aece92de3edee1f18e0157c05861564,2021-06-03 23:59:54.000000 UTC,269286,26400000000,1546646,168444,0,1313,,168171,731428,0.22992146868864741,31,1177,1403,0.83891660727013539,187,31,0x71f362b85562ea97e48d9ce04dd356256494d8d9c3175c173f8df8f34acc10d3,1,1,19,322539,30,194725,175,653,4179165,6,3,5,4,5
0xc22a1a9a9d232c1f5209b20ec5aeb42b2c03e36fb6d03f1f912be2bb2200e508,1,0x1403f78f4e82f738081c2894ff21b3308e9cc585,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:54.000000 UTC,200000,22000000000,5883479,50625,0,0,,2925804,10655227,0.2745886127062333,992,2,2,1.0,1,308,0xc22a1a9a9d232c1f5209b20ec5aeb42b2c03e36fb6d03f1f912be2bb2200e508,1,1,2,3745299,1035,6482131,1,0,0,3,0,1,1,1
0x7d2755c60cf829889f00a66f1e148d1d88e40396b8be9b6781c72dbed5b2a9b8,1,0x6102dca4db26e0cb2712202caec2d75feef2ccd9,0xbd6a40bb904aea5a49c59050b5395f7484a4203d,2021-06-03 23:59:54.000000 UTC,225000,20001000000,13853372,125011,0,19,,12860,13577,0.94719010090594391,502,22,23,0.95652173913043481,7,1,0x7d2755c60cf829889f00a66f1e148d1d88e40396b8be9b6781c72dbed5b2a9b8,10,4,5,1972,569,3642480,6,73,476298,5,1,3,1,1
