transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,rn
0xfc255166f59367751a05d4ad602d5d59b26366b4b442e8e38df371dbbbaa202f,2,0xad492e78ea607f1ccf1cefaa7ee37871932b1d02,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-11 16:52:35.000000 UTC,1337,1371,0.975200583515682,58,1115,1146,0.9729493891797556,198,642,,2,2,8,850,70,447392,221,1614,9739456,7,5.0,3.0,1,3,140890,153613249523,11116103,93629,0.0,1070,-1.0,-1.1130256510328231,0.4913869145027771,0.4977603411492617,0.2845143529023137,0.6643700610491738,0.6179242818040593,0.9060443388935964,0.5005600855652538,-0.1575831287477058,-0.0263486186430456,-0.2172572603254155,0.6055384847834586,0.2717698936165127,0.2873733774260743,0.8538761549060361,2.28419053948841,2.197411985323206,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.2086182933982441,1.5962086268334497,0.0116037173834849,-0.7812649165216322,0.0,0.5772894357396904,0.25,0.8169014084507042,1.6129411764705883,0.0029884240477611,0.1226006191950464,5.185520361990951,0.0001144827683925,0.0017452006980802,0.0014587892049598,1.0,0.0344827586206896,0,
0x20c8d906939c8f08f4300637e1ade267ac47ff01c4e8b34ba098018c27149e92,2,0x78fd06a971d8bd1ccf3ba2e16cd2d5ea451933e2,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:13:27.000000 UTC,1567,1603,0.9775421085464754,85,327,329,0.993920972644377,111,874,,2,2,8,911,97,613704,108,485,3132268,7,5.0,3.0,1,3,140926,85101348433,11136522,88853,0.0,301,2.0,-1.1130256510328231,1.2873625626958547,1.2832077082407676,1.5891827510617014,-0.2528726374443189,-0.2671212608068008,0.0898473408118285,1.3042608610378603,-0.1575831287477058,-0.0263486186430456,-0.2172572603254155,1.0844174171840988,1.56340642374252,1.5414236037423377,0.0027642307624839,-0.0700195031184185,-0.0463017827702219,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.2085046480854875,-0.1072378551116795,0.0143804637872455,-0.892195945549415,0.0,-0.2728280010596927,0.25,0.8673469387755102,1.7596048298572995,0.002553344033371,0.228395061728395,3.0462962962962963,0.0001043971638451,0.0060790273556231,0.0012476606363069,1.0,0.0235294117647058,0,
0x290bda03d57fe22d44ce5c98c9a4a9eb1f631dcf60ab602835f28107aaee4800,3,0x5da7c20eb38f861adbbd8fa5a66bae8b71b51fca,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-20 06:10:43.000000 UTC,1420,1455,0.9759450171821306,67,10,11,0.9090909090909092,5,726,,2,2,6,875,79,501531,7,65,414684,4,5.0,1.0,1,2,126822,78202788142,3353511,84251,0.0,8,-1.0,0.8499825518469348,0.7786303005898442,0.7821464568203241,0.7194038189554429,-0.6218649412798992,-0.6116065515659851,-0.9045995763912448,0.7915551939260251,-0.1575831287477058,-0.0263486186430456,-0.9809031665658908,0.8018003423247045,0.7023154036585152,0.6956002353950493,-0.7579641262153812,-0.945810661572686,-0.9691574116323656,-1.4588574238648195,-0.5030369752981232,-1.461943020032911,-0.0316385998584131,-1.428416809348496,-0.2530283561721269,-0.2787602923996669,-1.0440184688088163,-0.999085517489502,0.0,-0.5967349048077022,0.5,0.8375,1.6628571428571428,0.0028313248207492,0.0757575757575757,1.5714285714285714,2.411468946308644e-05,0.1818181818181818,0.0013745704467353,1.0,0.0298507462686567,0,
0x286311bcabed60330343045c89661aa2170b2886f10bdfe9f760871b3c451604,3,0x23c2aa52895d15d5ba51f3f3b588a8d4f13d6af3,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-01 22:02:29.000000 UTC,1519,1555,0.9768488745980708,78,284,294,0.9659863945578232,86,826,,1,1,6,897,90,574884,87,270,1737010,4,5.0,1.0,1,2,250959,155270500136,1139939,165716,0.0,278,2.0,0.8499825518469348,1.121245905681647,1.1207013564287318,1.2509353885759342,-0.3029252212453598,-0.3050363085318683,-0.1446920264530471,1.1379779419745626,-0.6409669592621409,-0.6689978538392812,-0.9809031665658908,0.974510776961001,1.2285376937098516,1.248707324787137,-0.1554070117774682,-0.5183411675652461,-0.5201129691088731,-1.4588574238648195,-0.5030369752981232,-1.461943020032911,-0.0316385998584131,-1.428416809348496,0.1388490935408019,1.6374136975073432,-1.3450385036031305,0.8930828827928098,0.0,-0.2982541402617549,0.5,0.8571428571428571,1.73355629877369,0.0026422675839515,0.3173431734317343,3.3793103448275863,0.0001634992524514,0.0034013605442176,0.0006430868167202,1.0,0.0128205128205128,0,
0x329f81c089b3a31c6f9a7f3408252da81506786fa285e86d858f3e0c0bd0a5e2,2,0x5a825c64df9dee1e35fe9041ca8d69509414c4a7,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-01 00:46:36.000000 UTC,1245,1275,0.976470588235294,48,1700,1769,0.9609949123798756,354,546,,12,9,8,812,60,379378,320,1297,8092063,7,5.0,3.0,1,3,166540,110861693592,4316257,110729,0.0,1685,2.0,-1.1130256510328231,0.1729966552255461,0.1727476375251903,-0.1986961649344964,1.3453180034586831,1.29281213131026,2.369569990626421,0.1679942474386578,4.676255176396644,4.472196027730603,-0.2172572603254155,0.3072204613207648,-0.2066140064301566,-0.225475798175652,1.5995405840229535,1.623176736559832,1.6379790835258397,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.1276460080591701,0.5332547985244596,-0.9130962153568905,-0.3840872372136161,0.0,1.25716228831657,0.25,0.7868852459016393,1.570197044334975,0.0032816787434201,0.2727272727272727,5.528125,0.0002100823720623,0.006783493499152,0.0094117647058823,1.3333333333333333,0.1875,0,
0x7e70e4b184abfad8065afe2a345384cf34076f228f1d4e3c3ad5f93fb8d43ffc,2,0x77d006307e686f513c00b9609a85e854f26ad38f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-14 03:02:14.000000 UTC,1354,1388,0.9755043227665706,61,65,66,0.9848484848484848,21,659,,3,2,8,856,73,462812,27,141,902232,7,5.0,3.0,1,3,140926,82967885268,8019134,88853,0.0,64,-1.0,-1.1130256510328231,0.550219897195309,0.5553146740826911,0.4294775082533568,-0.5578441945576377,-0.5520257622837362,-0.7544943813417242,0.5594519527335051,0.3258007017667291,-0.0263486186430456,-0.2172572603254155,0.6526413305933577,0.4152850636305135,0.4036455315087429,-0.607324847605903,-0.7873341662333425,-0.803592551028064,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.2085046480854875,-0.1602832423357865,-0.4095480301706548,-0.892195945549415,0.0,-0.5348277832722464,0.25,0.8243243243243243,1.6214953271028036,0.0029255876563536,0.1478873239436619,2.4444444444444446,7.204347435751075e-05,0.0454545454545454,0.0021613832853025,1.5,0.0327868852459016,0,
0x82f35b398001cafd3b3a6bc4697eae140485cdd0311e32f4b15ff753867c2d58,3,0x0941f3833ad8b95706769a4e1124b837ee1b52f6,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-18 09:06:20.000000 UTC,881,902,0.9767184035476718,34,107,108,0.9907407407407408,25,174,,1,1,6,632,46,292233,15,98,627421,4,5.0,1.0,1,2,250959,49674018333,15747563,165716,0.0,79,2.0,0.8499825518469348,-1.086721327132194,-1.0900621380141704,-0.8751908899060307,-0.5089556243333652,-0.5065277050136553,-0.7169680825793441,-1.1206983753019013,-0.6409669592621409,-0.6689978538392812,-0.9809031665658908,-1.105864912976206,-0.8763514664954937,-0.8825793563814986,-0.6977084147715898,-0.876998499122708,-0.8969147365513945,-1.4588574238648195,-0.5030369752981232,-1.461943020032911,-0.0316385998584131,-1.428416809348496,0.1388490935408019,-0.9880857058270972,0.6414283855435783,0.8930828827928098,0.0,-0.5182455185752494,0.5,0.723404255319149,1.4272151898734178,0.0030147073920214,0.2525252525252525,7.2,0.0001705391267759,0.0092592592592592,0.0011086474501108,1.0,0.0294117647058823,0,
0xa56805fa481bf77b78addf14232bc1af8cbdaa16fc4038243c5cb25b7f2b73cd,2,0xf8abd7383110aebda2976bdcb236643699e7ba9c,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-24 21:15:00.000000 UTC,1453,1489,0.9758226997985224,71,274,290,0.9448275862068966,64,760,,2,2,8,885,83,530822,57,337,2178023,7,5.0,3.0,1,3,140926,152456402526,9752765,88853,0.0,275,2.0,-1.1130256510328231,0.8928355022871118,0.8972551226871828,0.912688026090167,-0.3145653570130437,-0.3093694568433046,-0.3510866696461378,0.909338928262528,-0.1575831287477058,-0.0263486186430456,-0.2172572603254155,0.880305085341203,0.8936689636771828,0.9164645457216024,-0.3813659296916856,-0.3786316256213509,-0.3703507798071327,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.2085046480854875,1.5674453475223158,-0.1737943867651087,-0.892195945549415,0.0,-0.3015705932011543,0.25,0.8452380952380952,1.6824858757062149,0.0027372589356527,0.1893491124260355,5.087719298245614,0.0001258021031907,0.0068965517241379,0.0013431833445265,1.0,0.028169014084507,0,
0x90593a0f847049beff6a5446f8eea59bd61f934e4810a894a267738dd1664a0d,3,0xe3f0254b09aec48ffa46f9eee5a3bc7a8e510e6d,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-19 20:00:38.000000 UTC,1418,1453,0.9759119064005506,66,500,512,0.9765625,139,724,,2,2,6,874,78,498861,132,408,2636915,4,5.0,1.0,1,2,126822,144153478345,9977397,84251,0.0,508,2.0,0.8499825518469348,0.7717087732142522,0.775375358828156,0.671082767171762,-0.0514982886633871,-0.068879725558591,0.3525314321484894,0.7846267389650544,-0.1575831287477058,-0.0263486186430456,-0.9809031665658908,0.7939498680230548,0.6544770136538482,0.6754675083262605,0.1835313650938578,-0.2305812155017009,-0.2145171182754904,-1.4588574238648195,-0.5030369752981232,-1.461943020032911,-0.0316385998584131,-1.428416809348496,-0.2530283561721269,1.361005491658413,-0.1432470485913712,-0.999085517489502,0.0,-0.0439927482411331,0.5,0.8354430379746836,1.662471395881007,0.002842469460492,0.3398533007334963,3.878787878787879,0.0001896154447088,0.00390625,0.0013764624913971,1.0,0.0303030303030303,0,
0x79f3039b357ffe5a8375523175ea1046f20fc8fdcae58755d13741cd11d592b8,2,0xd3137fe7b703f4faccabc1660265ec53f89fa994,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 04:27:50.000000 UTC,1576,1612,0.977667493796526,85,112,115,0.9739130434782608,44,883,,2,2,8,912,97,614041,36,448,2887369,7,5.0,3.0,1,3,150341,64217967219,27450135,88865,0.0,102,2.0,-1.1130256510328231,1.3185094358860183,1.3136776492055242,1.5891827510617014,-0.5031355564495232,-0.4989446954686418,-0.5387181634580385,1.335438908362229,-0.1575831287477058,-0.0263486186430456,-0.2172572603254155,1.0922678914857489,1.56340642374252,1.5439647007543906,-0.5395371722316378,-0.1471725337441516,-0.1294662482118458,0.6833708050115673,-0.5030369752981232,0.6800980349603649,-0.0316385998584131,0.6752898318127651,-0.1787832419853947,-0.6264720566758168,2.232842005982835,-0.8919172243709532,0.0,-0.4928193793731872,0.25,0.8673469387755102,1.7675438596491229,0.0025665996788493,0.0979955456570155,3.1944444444444446,3.878962516061329e-05,0.017391304347826,0.0012406947890818,1.0,0.0235294117647058,0,
